comment,sentiment_vader,sentiment_textblob
if businesses would be truthful in their business affairs we would not have these stupid laws,0.6981,-0.14999999999999997
welcome to the new ussa,0.4588,0.4681818181818182
since biden cant get any money for funding ukraine war so he hired this witch making trump to pay it,-0.8006,0.0
that judge is a joke what a scam how much you charging biden 0 i cant wait till trump becomes president all the scum will scatter like cockroaches in the light trump 2024 all the way i am ashamed of you chooches i pray that god serves vengeance and justice in jesus name i pray amen,0.7184,0.10000000000000002
have to love the morons who use the if they can do this to trump then they can do it to you argument yeah no hit if you sexually harass someone and then talk hit about that person or lie then you should be held accountable for it,-0.4215,0.06666666666666665
hahaha hahaha hahaha stinky doesnt have the money hahaha hahaha and no banks are going to give him loans on property that already have loans on them,0.936,0.2
let trump sell shoes at payless,0.0,0.0
who persecutes their political opponents by the way the 92 pages cite the court as the only investigator and they collected one side accusations trump was not allowed to dispute it no exculpatory evidence was considered even after testimonies said trump did nothing wrong,-0.2235,-0.16666666666666666
trump mentally traumatized withdrawal,-0.3818,-0.1
even a blind man can see how the system has been mobilized against president trump any man that can scare politicians and elitist like that will get my vote even if he is in jail,-0.5267,-0.3
when trump win the criminal well have the taxpayers pay his fine and more then this coward talk about a military men trump was hiding out from veitnam,-0.4818,0.24333333333333332
here is one that nobody has figured out yet i am a real estate appraiser with 36 years of experience so i speak with a fair amount of education on the subject the judge in this case is not qualified to value real property therefore when he did he violated numerous federal laws with some are with the comptroller of the currency some with federal lending practices as the properties all have mortgages trump needs to look into taking the judge to court for his unsupportable and unqualified property estimates of real property this is so illegal its a no brainer,-0.8736,0.09047619047619047
why dont the democrats just give trump the money he needs to pay the legal fees using america tax payers money i mean they just give it all away anyways to these other countries all i can say is that whoever come up with making trump pay out such a ridiculous amount of money can described in one word crook,-0.4215,-0.11416666666666667
if i were trump i would get out of new yorkand then america i would move to russia and declare my allegiance to vladimir putinand russia first then do business where he can make money have power but nio bring down america in the process this is io i were an honest donald trump there will never be room for a legitimate republican candidate who puts america before himself until trump is out of the picture the problem in world politics today power first people second republicans have their best shot with trump power first people second putins war is to take down america make no mistake,-0.5499,0.21752525252525254
there are people sitting in prison without receiving a fair trial and now this unfair trial this is election interference,-0.8354,0.09999999999999998
seize his assets wowthese psychopaths really want a civil war banana republic trump 2024,-0.4349,0.2
rubbish verdict witch hunt by the biden clown show,-0.2263,0.0
it is hard to understand how anyone can be so horribly misinformed,-0.8246,-0.6458333333333334
if i were trump id get the hell out of the us the man seriously needs mental help,-0.5574,-0.21666666666666667
this may be why convicted sexual abuser donald trump moved to florida his crimes would be exposed in ny and he would be limited in ways we are seeing moved to florida to continue his criminal enterprise unabated under a goomba governor who fires prosecutors that do their job to uphold the law trump motto appears to be it aint a crime if you dont get caught,-0.7469,0.009523809523809526
ya trumps a criminal and a rapist and a traitor,-0.8519,-0.4
if no one except judicial system brought charges who gets the money,-0.5106,0.0
imagine a judge can arbitrarily demand an arbitrary amount of money from a us citizen and they have 30 days to pay no recourse no appealthis is the day the us legal system died they are all traitors to the constitution,-0.8126,0.0
he will file bankruptcy to avoid paying he done it several times already he a millionaire criminal,-0.6808,-0.2
love it when a plan comes together pay your bill or lock him up,0.5859,0.5
trump loves putin and jeffery epstein,0.5719,0.0
trump was toast long ago he hasnt won anything since 2020 popular loser,-0.5571,0.27499999999999997
most people in business already know that the extremely wealthy have an unfair advantage ie if you are extremely wealthy more than trump apparently you can save 168 million dollars on interest payments most businesses dont have a huge profit margin maybe 20 percent is a good point for most this trail points out that the common person would have to pay an additional 168 million maybe more if you have less money the trump in interest payments effectively eating away at the profit margin so the extremely rich saves 168 million and can lower the cost of their widgets or use capitol in other ways to be more competitive while not affecting the profit margin this means the extremely rich will most likely win in a competitive business every time making the richest richer and keep the less rich in their place now government judge is stepping in to help the billion dollar finance industry keep this borderline criminal process going this should be the focus and the reason for outcry stop focusing on trump and see how the rich get rich while the rich are left with scraps,0.9919,0.27291666666666664
crash and burn trump come on maga get your wallets out to save a horrible person who doesnt care about you except your vote and money,-0.6836,-1.0
whats hilarious is that the dems had the fbi pour through all of trumps business records hacked his computers and tapped his phones and in the end they had to fabricate false allegations trump is the most honest businessman you will ever find,0.5563,0.29999999999999993
new york must be running out money to take care of all these immigrants,0.4939,0.13636363636363635
trumps entire criminal defense strategy can be summed up like the movie dodgeball deny delay deflect denigrate deny,-0.7579,-0.2
you sure dont hear much noise about impeaching president biden anymore after the gops star witness was arrested for lying to the fbi this network mentioned that informant over 300 times where is the apology for lying to you yet again remember dominion,-0.8126,0.35
and when trump becomes president garland every de illegal de the fbi director hidden crimes these prosecutors in that illegal judge should all be put in prison for a national security because this is all bogus from georgia to new york to dc because we cannot allow these outlaws to continue in their illegal warfare against mega we the people,-0.9389,-0.30606060606060603
florida legislature should come out with the governor and say we will protect trump and his money he is a resident of florida and we will protect them against illegal judges and juries that are against we the peoplemagatrump no illegal judgements against floridians,-0.6369,-0.125
maga losers make sure you buy those golden sneakers from your deity donald the deity needs your money more than ever,-0.2732,0.275
delay dealy dealy rush rush rust to the bank for a loan r1m a week interest if not paid,0.1779,0.0
mississippi truckers said no loads for nyc for allowing this to happen to president trump,-0.296,0.0
i have never brought a case in front this fake court but trump runs everyday like a crybaby to his supreme court,0.7806,-0.35
has anyone noticed that the supreme court is not mentioned anywhere in the constitution they are a made up court if you dont like law and order start with the fake supreme court,0.457,-0.5
if tou guys dont even question how california literally has rolling blackoutson purpose in the name of climate changeman wake up these idiots want evs and they can literally just flick a switch how do you drive an ev without the e you are mistaken if the government is republican democracy there right now wef has suggested that hobby farms are bad for climate farming is struggling because farming and fisheries is also bad for climate so question if we cant grow our food or catch our foodwhat next,-0.9001,-0.38285714285714284
ba ha ha ha ha ha ha ha ha ha i remember kenneth copeland saying how god would help trump win in 2020 god told him so much for your god and your traitor trump he will never be president again,0.9825,0.5
is this why trump is selling shoes made in china,0.0,0.0
that judge goin to realize hell be put on the losers list just like the others,-0.7579,-0.2
trump falsifying the value of his properties means that the bank is loaning him money based on his fraudulent claims the bank is then not loaning that same money to someone else holding their legitimate assets its very pretty yes pretty to say that he is not a criminal but in reality if youre passing him on the street americans you should know in your heart and mind that he is a criminal and avoid him at all costs,0.8011,0.07499999999999998
isnt it awesome that trump has a product to go with his brand,-0.5096,1.0
i met two contractors who lost their homes and businesses because trump refused to pay them after major jobs i am glad justice is being served for all the people he stiffed,0.3612,0.28125
he should be in jail,0.0,-0.1
maga retardplicunts are hilariously ignorant and thats tremendously hilarious,0.2247,0.5
this is fun,0.5106,0.3
since epstein is dead and maxwell is in prison his list for a vp with the same morals beliefs and pastimes as him has gotten shorter,-0.8225,-0.1
not much mentioned lately about the list is there not since his name was found on it,0.0,-0.2
where is malania probably banging a waiter at mara largo,0.0,0.0
moronic assholes gathering again,-0.8176,0.0
morally absent geriatric asshat,0.0,0.0
most anti goddam americans,-0.7485,0.5
mentally ailing geriatric autocrat,0.0,-0.1
maxwell s absolutely grotesque associate,0.0,-0.55
hahahahaahha moronic asshat getting accountability,-0.5719,0.0
rapist president did not pay taxes what else can you say america pls wake up now fox get your act together,-0.649,0.0
rapist ex president truth social,-0.5574,0.03333333333333333
trump is by far the biggest fake it till you make it in history,-0.4767,-0.2
we all know trump is a crook and rapist so you get what you reap,-0.7096,0.0
my unbiased assessment of the republican party and rupert murdochs communist propaganda machine fox news as it stands today we know that progress on the border was being held up by one person donald trump lies about crime is just that its fox news attempt to criticize our country and our cities overall crime is trending down has been for years and so isnt inflation basically the house republicans are the party of impeachment insurrection and illegitimate investigations nothing more nothing less they have accomplished nothing substantive to show for the american people whats worse than this is wealthy billionaires and toxic special interest groups have corrupted our supreme court most of our supreme court justices are justices are completely ethically and morally bankrupt,0.617,0.11037851037851037
if i am to understand it the judge claims the local tax assessment valuation is the only accurate one and based his reasoning on that can anyone confirm,0.0,0.13333333333333336
trump will never pay anything,0.0762,0.0
donald trump makes david koresh jim jones charles manson ect seem like amateurs he has mastered the art his money and success in real estate entertainment and the political realm makes his rhetoric believable to the naive and uninformed his followers will support him no matter what crimes he commits nothing will sway their devotion some supporters even admit that its a cult most prefer not to use that title because of the negative connotations,0.891,0.12857142857142856
most corrupt and absurd thing ive ever seen you got a loan from a bank and said your property was worth more than we think it was even though you paid that loan back and hurt absolutely no one we think this was wrong therefore you owe us 300 million dollars laugh all you want but if they can do this to the former potus what could they do to you,-0.2724,-5.551115123125783e-18
i love how the fulton county case started 2020 trump kept delaying it and the 2 grand juries where it would be done and him prosecuted but suddenly its political and tgey are trying to keep him out of office no you are trying to avoid punishment thinking being president with cancel the convictions coming,-0.8625,0.25
trumpanzee university steaks wine casinos hotels vodka mortgage llc shuttle airlines all failures and now shoes loser loser loser also 2020 presidential loser and soon to be 2024 loser are you tired of winning donny,-0.9612,0.04999999999999999
don the con,0.0,0.0
don the con,0.0,0.0
the democratic party has become a big woke robin hood clan by what evidence is trump being charged evidence hidden from public eyes i presume,0.2263,-0.05555555555555555
how could they find him guilty of things he did cant even do crime in peace anymore,0.5499,-0.5
trump needs cash its time to withdrawal large sums this time no more little 25 campaign support if you want your guy to represent you and win he needs you to send thousands trust me in a few weeks he will set up a go fund me and ask you to cut back on food and travel so you can save america from those other criminals,0.7506,0.03596938775510205
martha i have zero respect for you who knew,0.4767,0.0
this is more serious than meets the eye,-0.1513,0.08333333333333334
beleave it or not i know for a fact the illegal aliens have so mutch confidence in thea un lawfull un constitutional tachtics of bannana ripublics so now we know what were dealing with and they dont got a clue where ther realy atand the left deep state are involved,-0.0056,-0.16666666666666666
ohh thats a shame that trump is upset about losing millions of his money never mind we faithful followers will dig deeper into our pockets to bail him out we love you trump we will support you forever with out hard earned money,-0.4949,0.10416666666666666
i am officially not voting for trump too much lying with trump i want nikki haley we need an honest woman in white house not lying donald trump i will not be a sucker this time,-0.1088,0.125
i hope he never does anything for nyc ever again,0.4404,0.0
surely billionaire trump will be upset by the ruling but can clearly afford the debt without begging stupid poor white people sorry i assume that is 90 of his voters for money to help him pay the fine,0.9031,-0.09761904761904762
witch hunt maralago valued by trump at 700 million in 2012 but was appraised by palm beach county at 261 million in 2016 seven springs llc appraised in 2006 at 30 million valued by trump at 261 million in 2012 and 291 million in 2013 albemarle estate purchased by trump for 65 million in 2012 valued by trump at 90 million in 2014 and 170 million in 2015 turnberry golf resort purchased by trump for 63 million in 2014 valued by trump at 217 million in 2016 and 300 million in 2017 doonbeg golf resort purchased by trump for 15 million in 2014 valued by trump at 180 million in 2016 and 200 million in 2017 trump tower valued by trump at 600 million in 2012 but was appraised by cbre group inc at 481 million in 2016,0.9659,0.0
wow the court ignored all the daily crimes happened in new york but only pick on a case which even has no victim corrupted democratic court,-0.5719,0.05477272727272727
i dont care about pres bidens age or even if he was in a 100 coma i would still vote for him,-0.3875,-0.1
you can fool some of the people all of the time and all of the people some of the time but you can not fool all of the people all of the time abraham lincoln,-0.7003,0.0
trump is such a baby a court case goes wrong and trump is at the tv camera its always the same poor me speech there is always some gimic trump is going over to get out of a judgement like presidential immunity that follows ex presidents for the rest of thier life meaning trump cannot be charget with a civil penalty or criminal prosecution the problem is there is no such concept in the constitution or history yes nixon was pardoned for his watergate crimes however a pardon doesnt affect the future mr trump blease higher a good spokesperson and avoid tv cameras,-0.891,-0.038888888888888896
just to be clear there remains a what i see undefeatable point the country that has the money has the influence its why my country the uk and europe and the planet drinks coka cola and eats mcdonalds if the usa focuses on small issues like social woke things that dont make money china will simply overtake they already own a controlling stake in reddit and have tiktok will probably buy up rupert murdochs empire when hes not around anymore at some point they will own all main media outlets and control the narrative they will drop all support got the woke things off the earth because its not their narrative the best outcome for the woke style social policies survival is the president who has america making money which ironically is probably not a president that puts restrictions on businesses and slows things down remember the rivals across the pacific grind money money money nothing but hard work no restrictions near no emissions laws unified goal they are legit not playing around,0.4226,0.1613425925925926
except no one was frauded,-0.296,0.0
after 364 m judgment trump tweeted brother can you spare a dime,0.0,0.0
what did that woman do to deserve 80m thats more than my lifes work so far and i work to 5am,0.0,0.3
judge arthur engoron wikipedia entry personal life engoron is a fan of pop culture references frequently using them in his rulings he has drafted and pitched a screenplay for a historical romantic drama about holocaust survivors his political association is the democratic party engoron has been married three times and has four children,0.7717,0.05833333333333333
yada yada yada more fox news showing their disconnection from reality lol no morals,0.1531,0.65
more fox news lies you guys will never learn,-0.4703,0.5
my american brothers and sisters please do not give up your freedom trump is a con man he tell people what he want rhem to hear trump make the same promise in the election but fail to deliver in all promise he marginally have sucess in the illegal immigracisn issues he did nothing else the distructuon of american of the economy did not begin with biden the distruction peaked under biden after 2 years of no production and no tax collection is bound to have a negative umpact on the economy the same thing happened when bush crash the economy obama have it easier because there was no pandemic during obama time biden is not a bad president he us just ild snd kinda slow trump is not the answer trumpnis only trying to stay out of jail recently trump wish that rhe us economy crash just like he want america arch enemy attack a nato member he even brag about running america as a dictator we want no more of trump and his threats lets get back to democracy now,-0.9762,-0.11428571428571431
fox why are yall not covering trumps philidelphia conference he was bood by everyone where is your segment on that i thought fox said everyone loves him,0.5719,0.0
trump pay your bills just like you told nato members,0.2732,0.0
everyone loves a loser sadly a large number of the us voters will still insist on voting for him sad sad sad,-0.8885,-0.3214285714285714
im sure the people who bought in the trump tower in chicago the people that went bankrupt because he refused to pay them for their services and the people who ended up bankrupt because of his own seven bankrupt companies are cheering and dancing in the streets even fox got stuck paying 78000000000 last year playing in the defamation game with him and more losses to come,-0.8999,0.24000000000000005
i do believe that the verdict maybe good for ceos i say this because at that level you become your companies policy its too many lawyers making billions of dollars over the course of the last however many years because of some ceos moral dilemmas and not wanting to take accountability of their actions due too thats how you get these ceos stealing all the cash from these giants that have locked out the family of the man who built it after heshethey passed away once the owner passes the ceo is the devil capitalism the money should go back into the company to improve the hourly rate from bottom to top as punishment this has nothing to do with nothing but just a positive opinion,-0.7533,0.2558080808080808
lets get on with the smartmatic trial,0.0,0.0
foxnews goes like lucky you donald in our case it was 787 million dollars p,0.6486,0.3333333333333333
please someone locate melania he probably has her locked up thinking she is e jean carroll or another wife he gets them confused in those very large photos,0.0,-0.06071428571428572
whats half a billion to someone who can easily con 10 a month from 40 million acolytes,0.34,0.13333333333333336
the old man has now cost his kids 551 million growing 1mweek you gotta love the old man eh and melanie was overheard booking a oneway flight to the south of france vlad has a couch in his basement but said the kids are on their own trump is a flight risk pull the passport,0.0772,0.32499999999999996
don cost his kids 450 million more now you gotta love the old man,0.6369,0.3666666666666667
new york will become a desert of businesses by this time next year,0.0,0.06818181818181818
trump is as sleazy as you feared more so only the dumb and dumber could support him now and they do more than ever lets find someone worthy of support please,0.0865,0.19166666666666665
no harm no victims theory its like a woman cheating on her husband behind his back and then telling a friend who accuses her of unfaithfulness he wasnt harmed he isnt a victim because i never told him i cheated on him he was totally oblivious to my dishonesty deceit and disloyalty so everything is just hunky dory,-0.7529,-0.11875000000000001
it wasnt made up hes guiltyhe just got caught because he ran for president everyone running for office is put under a microscope dont run if you know you have skeletons in the closet everyone should blame trump,-0.34,0.0
prosecutor eliot ness also said he would get mobster al capone and he did they werent just empty words ag tish james said shed get the wannabe mobster trump and she did they werent just empty words,0.2924,-0.1
so trump takes an upper cut from the democrat controlled courts when are the corrupt democrats going to get their fair share of upper cuts or are they immune to prosercution,0.34,0.04999999999999999
ha ha pay the money sons by taking money from then poor so pay now immediately wow foxyour informant to you fox was a liar and is now arrested for lying on president biden fox host areajoke republicians democratics and independents and young seasoned and elderly ppl now you know republicans ppl watching you host on fox look so stupid wow you said this man was hoingbto bring them biden downyour down in my opinion neo sad,-0.8679,-0.16319444444444445
the world does not want him,-0.0572,0.0
id rather see a smaller fine with a mandatory jail sentence,0.34,0.10555555555555556
why do you think no one stepped forward because his crazy base would boycott afterwards,-0.7096,-0.7
what does the morgitory of new york think about trump being sued,0.0,0.13636363636363635
fox newsand the maga crap wagon the trumpity trump clown show is over he will never be president again he is a liar a cheat thief rapist doesnt pay his ny taxes stop supporting trumpity trump he is going to prison because he is a criminal,-0.9716,-0.3166666666666667
ms james had seen the evidence when she was making those comments she showed the strength that was lacking in her predecessor and brought trump to trial she didnt convict him she simply presented the facts and he was found guilty you can only go after ms james if she brought charges that were unfounded and then have the state of ny pay trumps legal fees similar to how trump has to pay the ny times legal fees for bringing his frivolous lawsuit,-0.34,-0.016666666666666663
hes a fing crook,0.0,0.0
and the strange part allot of these people that are mad at trump voted him into office oh the irony,-0.6369,-0.3375
thank goodness he finally got what he deserves keep it up new york,0.6705,0.06818181818181818
thats nothing since he said hes worth 9 billion right,0.2263,0.2928571428571428
pay up how is a billionaire charged 75000 in taxes while we are paying thousands what a joke republicans are all stupid,-0.5267,-0.7999999999999999
the real fireworks are yet to come ivankajared having 25b will certainly be expected to return trumps conditional pardon of jareds father charles,0.5719,0.05
democrats want to games corrupt dont cry wolf when we republicans play the same ball game,0.6433,-0.3
thats gotta hurt,-0.5267,0.0
we all see this as statement of how corrupt and unjust poltics and most importantly the legal system has becomebunch of crooks have it coming to them,0.0146,0.15000000000000002
this injustice is not suppose to happen in america america has become a third world country,-0.5719,0.0
political but the evidence is still the evidence,0.0,0.0
the great things this man could do for our country if people werent one minded and would let him do his job,0.6249,0.8
this is an illegitimate court dont pay a dime if they want civil war they got it,-0.5113,0.0
its ok trump push thru they are all haters everyone can see it they are doing the same thing to every day americans,-0.25,0.25
whine more had he not broken the law he wouldnt be here now,0.0139,0.35
me or you wouldnt be allowed to do what he did so why should he,0.0,0.0
trump wont pay a penny when this goes to a real court the charges will be dropped the judge is corrupt and should be removed from the bench trump should sue the judge all these cases against trump are fraudulent shame on the legal system the democrats have destroyed our legal system,-0.852,0.02500000000000001
im going to vote for donald trump because hes a winner and a loser pressure is what makes diamonds thats why donald trump is a gemstone joe biden is paste,-0.2023,0.0
lmao if you really think its political show the flaws in the ruling the representation or how he actually didnt do it all fox news has to say is that they say is they are so mean to trump cry me a friggin river,0.2023,0.0975
trump could run the country better from a prison cell than biden can from the white house,-0.1027,0.25
don the con has been rumbled,0.0,0.0
imagine whats gping to happen when biden is impeached largely because of this latest leftist power grab just saying for a friend,0.4939,0.22142857142857142
hes got 7 billion in the bank he said,0.0,0.0
her comments are shocking really come on now how many shocking comments has donald trump made against others in office but now you want to talk about shocking comments stop it,-0.8225,-0.45999999999999996
donnie the consummate new york conman no sane man in america would have given him any creedence in 2010 except maybe some wacky old ladies and now the old american white guys have been exposed to be morons just the old hags truth is lies up is down fascism is freedom wow maga morons send him your last 10 he needs your support hurry,0.6249,0.01775446775446777
the fact that this is happening all before an election is sketch,0.0,0.0
so in other words white people are made that a black woman brought this crook down this reminds me of the movie idiocracy,0.0,-0.11180555555555555
there needs to be an ad stating trumps a billionaire and the magas need to donate all their savings to him for legal fees i read somewhere that he cant use donations to pay for these civil fines,0.0258,0.2
let me get this straight someone started a gofundme for the over 300 million that trump owes and people have actually contributed to it hes supposedly a billionaire my god the magas are truly some of the dumbest people on this planet,0.4263,0.1
watched fox for 5 min now i see how america could be so dumb,-0.6418,-0.375
no fox youre totally right trump is not a crook who lied about his assets havent paid his taxes hes a saint thats why he hasnt been found guilty because hes such a role model,0.4617,-0.07142857142857144
lmfaooo oh no mr president ask putin for the money,-0.296,0.0
fox news you are as delusional as trump,0.0,0.0
the banks that loaned trump the money should be prosecuted they broke the law with trump,-0.6597,0.0
i guess they dont want people borrowing money maybe everyone in the country needs to stop borrowing from the banks for about a year send the message back,-0.3447,0.0
best news ever money money money,0.6369,1.0
i believe this is injustice against the ex president he shouldnt be punished for running for president all he did was try to do his duty to the country and that should not be to take money from him when he paid for his whole campaign no help just goes to show you how awful some people in this country is support your fellow american fellow president at that i just dont understand we all know his personality is pure plain man not politician leave the trump family alone who are you giving this money to he did his service to this country and would have done 8 more years if you let him no yes were not becoming russian yes we want and need to share jesus christ testimony that russia will love god serve god and equally pray for the kingdom of heaven to come be made manifest on our earth in jesus name,0.9533,-0.0025000000000000022
take that boot licking trumpers,0.0,0.0
i think the judge has his mind made up before the trial started he must be a biden supporter it makes me angry to see whats happening to trump as he is the only chance we have to lower prices so we can afford to take care of our families,0.2023,-0.25
forget sending your kids to college forget buying a new car forget saving for retirement send trump your money instead,-0.5719,0.13636363636363635
they came after him to get to his patriots he said they would obama is really something he has all but destroyed america,-0.6486,0.2
lot of cases to keep track of im just loving this,0.5994,0.6
tired of winning yet,0.128,0.04999999999999999
please help me contribute to trumps penalty fund if trump is gone there will not be a future threat to democracy so lets help our putin loving liar in chief so what if he molests women says it ok to grab them in their crotch so what if he steals state secrets who cares if he tried to corrupt the georgia election etc etc etc,0.5962,0.15000000000000002
and the rep idiots still suckle on those orange nuuuuts,0.0,-0.8
all this does is expose the political witchhunt perpetrated on president trump he will be president again in november,-0.1531,0.0
trump the winner the said the same thing about bernie madoff it is all catching up to the crook and maga is too stupid to realize the con job,0.1027,-0.06666666666666665
julius and ethel rosenberg have maga to pay the bill also sell some cyber secrets in margo largo he will be okay make deals to get rid of nato,0.128,0.5
sucks to be republicans gotta love maga tears god every day more and more good news so tired of winning lol,0.8634,0.35
you maga morons will be paying for that crime too keep donating traitor trumpy needs your money,-0.7003,-0.8
the misogynist racist and crooked trump taken down by a black woman justice is sweet,0.34,0.006944444444444434
a vote for trump is a powerful vote for russia,0.4215,0.3
make america great again hold trumpy accountable for the multiple crimes we all witnessed him commit,0.743,0.4
all trump supporters sell everything and give it to t mans defence team,0.5106,0.0
red purple or blue he did wrong and now he has to face the consequences,-0.4767,-0.16666666666666666
hows that winning working out for trump,0.5267,0.5
good always beats evil trump 2024,-0.3612,-0.15000000000000002
why to become as stupid as everyone who gets excited over it,-0.25,-0.21249999999999997
trump a pathological liar inventing fantasy has now had his pants pulled down only question why did this take so long 6 times bankrupt after being handed a huge fortune to begin with serial infidelity throws every single person that ever supported him under the bus a very low quality man with no morals no depth of character dishonest to the core narcissistic to the extreme just a loud brash mouth barely style over substance,-0.9195,-0.03199855699855699
no matter what they do to pres trump i will vote for him a 3rd time no matter what,-0.4939,0.0
wanna be michele obama,0.0,0.0
i surely would like to see what happens if and when the democrats turn on the biden family,0.6597,0.5
once he is our president again he should charge the dems for this amount and put the judge to jail and nov elections should be last in the great us of a,0.6249,0.23333333333333336
you think this case was corrupt see bob dylans stealing of james damianos songs,-0.5719,-0.5
he cant run a business or the country what a clown,0.0,0.0
its a good thing people spend money on him and believe his conspiracy theories otherwise he would have ended up on the street,-0.128,0.7
trump supporters will rally to him when they start getting a flood of emailsmailers from him asking for their money i wonder how long that will continue,0.4404,-0.05
