comment,biden_stance,trump_stance
all good katie just missing some policies and proposals on how to support families and retirees what exactly is the gops plan,FAVOR,NONE
he cant find the stage,NONE,NONE
great speech sleepy joe stunned the republicans mentioned partisan maybe 6 times especially on the republican border legislation that the republicans are scared to send to congress for a vote,FAVOR,NONE
can you say crazy old lying man hopped up on adderall lies lies lies and more lies,NONE,AGAINST
this is like police academy,NONE,NONE
biden didnt pay taxes on his overseas corruption schemes,AGAINST,NONE
hysterical,NONE,NONE
so many absolute morons in these comments your gop is in free fall and its delicious to watch,FAVOR,AGAINST
can someone take him to the old folks home and get his diaper changed,NONE,AGAINST
dont you love how trump lives rent free in the minds of all the dems,FAVOR,AGAINST
smh chile not 4 more minutes,NONE,FAVOR
chuck amd nancy are too thrilled to hear the liesthey grind their teeth as they clap weirdos,NONE,FAVOR
he looks very strange and pelosi looks like shell pee herself with joy,NONE,FAVOR
disgusting liar in chief,NONE,AGAINST
how does joe define a woman in his domestic violence bill as usual joe misquoted trumps get over it there was more to the statement that joe left out wheres his office of misinformation on this instead of banning so called assault weapons btw what is your definition of an assault weapon how about harsher penalties for those that use a gun to commit a crime responsible gun owners dont shoot people except in self defense no gun has ever killed anyone the person handling the gun is the one that kills the reason our trade defect is low with china is because of trumps tariffs the reason chip manufacturing in back in the us is because of trump he did the ground work to get the plant built in ohio,AGAINST,FAVOR
worst president in history,FAVOR,AGAINST
the most ridiculous response ever the way of speech was dramatic and childish,NONE,FAVOR
he looks soabsent,NONE,NONE
you cant love your country only when you win does this idiot and his entire democrat party not remember the previous term and their hate give me a break,AGAINST,FAVOR
not walk away did i hear ahganistan,FAVOR,AGAINST
the one who tells the truth about ukraine is robert kennedy jr what a bunch of warmongers,AGAINST,FAVOR
uniparty,NONE,NONE
jan 6th darkest of days 20142019 mostly peaceful lick my nuts biden,AGAINST,FAVOR
he slurred from the very beginning,FAVOR,FAVOR
after all the crap is happening he still talks about defending democracy bizzare,FAVOR,AGAINST
a speech fettered with bald faced lies,FAVOR,AGAINST
if biden doesnt like guns than take them away from your secret service,AGAINST,NONE
someone please point out the 180 degree change of stance he has on the police now,FAVOR,NONE
he sure slurred and stumbled through that angry divisive speech,FAVOR,NONE
such a liar he taught the 2nd amendment for 12 years really they hopped him up on drugs and he still cant speak,AGAINST,NONE
propaganda of the union 2024 haha,FAVOR,NONE
this reminds me of the old film witches the bit where the grand witch addresses the other witches,NONE,NONE
what an evil little man satan incarnate,NONE,AGAINST
hahahahahaso much fun reading the comment section you can tell the cult are rattled butbutbutsleepy joe cant give speecheshes too old and confused these facts are hurting we prefer the orange idol dumb down speechso we can understand,AGAINST,FAVOR
worst speech ever,AGAINST,FAVOR
democrats are so vile and stupid,AGAINST,FAVOR
its truly a mystery those that clap and scream for him have they been living in another country that didnt have a radio or television or internet biden thinks the affordable care act is good heres the problem almost no doctor hospital or lab will accept it and its expensive,FAVOR,AGAINST
marge is such a pig,NONE,NONE
even if you want to believe biden is not good for one reason or another trump definitely doesnt compare to biden when giving a speach trump just rants and has no vision except his own the only thing he rants about is how bad he has it when thousands of americans have it worse and he hasnt come up with one new thing that he wants to do for this country so all of you that support him here is my vision support your man and go broke doing it because thats exactly what he wants and hopes you do,FAVOR,AGAINST
the biggest phony in my lifetime just ahead of barrack,FAVOR,FAVOR
the biggest threat to democracy is the democrat lie about the jan 6 protest the capital police were actually opening doors to allow protesters in to the capital and escorting them thru,AGAINST,FAVOR
yes the american dream is a nightmare because of trump,FAVOR,AGAINST
is this a state of the union address or a campaign rally looked much like a violation of the hatch act to me,NONE,AGAINST
i loved how katie britt told it like it was about crooked slow joe biden,AGAINST,FAVOR
if this continues we are doomed,AGAINST,FAVOR
when the gov is trying to support adderall for the elderly,NONE,NONE
bro isnt worried about the future because he isnt going to be a part of it,NONE,FAVOR
you were on fire lets try to be cool with mania or stupid,NONE,NONE
what a,NONE,NONE
we are a republic not a democracy this man his pills be slippin,NONE,FAVOR
too much talk no action,NONE,NONE
is that u joe the botox working for u old 81 yr skin tuck it in take a nap dont for get keep your depends on,AGAINST,NONE
the predecessor 2024,NONE,FAVOR
204 that congress woman from georgia is a national treasure marjorie taylor greene look how she defended the woman who was killed by alien criminal and bidens expression,AGAINST,FAVOR
bring the orange guy back,NONE,FAVOR
you know this man dont give a f about the us when the opening speech is about urkaine,AGAINST,FAVOR
as allen mccurdy stated in his keynotes for the third party national convention in 1920 after years of secret slavery the republican party and the democratic party come out into the open and reveal to themselves and to the nation as nothing but the right wing and the left wing of the same bird of prey then theres the old adage that if you are not part of the solution you are part of the problem republicans none of you deserve brownie points or respect from your constituents for doing what you did sitting and making frowny faces and shaking your heads while this narcissistic megalomaniac told one glaring lie after another and disparaged my predecessor whose name the coward couldnt say who was he even referring to it couldve been any former president really or a member of congress for that matter we know it wasnt president trump as it is a fact that president trump did not say that russia could do whatever the hell they want but obama was caught on a hot mike making secret promises to putin,FAVOR,AGAINST
dear third party voters rfk jr independents libertariansplease for the love of country vote support trump this upcoming election the current administration is hoping those fleeing biden those middle roaders disliking trump will vote 3rd party rfk jr indys libertariansplease endorse trumpas much as people may want rfk jr as president it just wont happen no third party has ever came close this election has way too much to risk at this juncture the usa you want is the same or very similar to trump maga ideology if we do not stand united the biden admin their insanity will reek more havoc to a point where the usa as weve known it will be no more heres how i currently see things id rather vote have an idiot with policies that work for the american people in lieu of an idiot with policies that are against the american people people leaving the left because of their insane policies are the exact reason why people did not vote for them in 2020 we on the same pageso lets unite,AGAINST,FAVOR
mr speakerthe head sniffer of the no longer united states,AGAINST,FAVOR
it looks like a retirement home,AGAINST,NONE
mumbling fool,NONE,AGAINST
he slaughtered the republican party their talking points about the border crisis has been buried if anyone votes for trump at this point cant be saved,FAVOR,AGAINST
well that sotu was methed up,FAVOR,AGAINST
im about to puke at the disgusting crimes against american taxpayers this man has done and lies barefaced about it,NONE,AGAINST
maga sucks at the test of america,FAVOR,AGAINST
republicans vote for open borders,FAVOR,FAVOR
i wish i knew what kind of drug theyre giving this guy hes going from completely out of it to somewhat lucid,FAVOR,NONE
how many humas murderers crosses our open border nobody knows but guarantee their here,NONE,FAVOR
grand slam bless you president biden you earned my vote sharp as a tack,FAVOR,NONE
830 is when the speech starts,NONE,NONE
honestly joe looks just like walter on the jeff dunham show only joe is the real dummy with obamas hand shoved up joes butt and moving his lips,AGAINST,FAVOR
nice try joe but we dont trust or believe you,AGAINST,NONE
a idiot is born every minute and joe used enormous amounts of minutes to become this big of a idiot,AGAINST,NONE
meanwhilewe in texas are making our schools safer not you biden,AGAINST,NONE
the republicans are supporting communism whats going on here booooooooooo gop,NONE,FAVOR
just because you spew lies does not make them true god help us,FAVOR,AGAINST
bobblehead mike nods up and down he concurs in agreement yet with a republican frown we know biden is right and mike knows so his sloth bobblehead nod let us know so bobblehead mike nods up and down in total agreement with all biden sounds a sound bite here a sound bite there yes yes and yes bobblehead mike declares if mike was a bike hed be treading deep for hes in trouble when trump does speak hell call him bobblehead mike yes hell steal my words cause all trump is is a giant chunk of orange turd f all of yall on fox cuz yall eat orange turd for breakfast out of fear my dears,FAVOR,AGAINST
read by 3rd grade its quite late by then,NONE,NONE
so by staying and not going home is he telling us hes stupid,NONE,FAVOR
ok mr president just listen to my words slowly and you will be fine,FAVOR,NONE
this was a campaign speech,NONE,FAVOR
lets go brandon,NONE,FAVOR
5005 im confused he says his team developed a by patrisian deal when they bood it was oh u hate the rep bill they put together then explaines why its good once the cheer starts it was his credit so which is it rep deal or his good or bad,NONE,NONE
lies lies lies he is a corrupt criminal that has been destroying this great country all he spoke were lies lies lies shut the border down now all the americans that have died is because you and the left their blood is on your hands worst president ever,FAVOR,AGAINST
its much better to watch from the fox seats vs cnn how do thoae libs live with themselves they think biden is the best thing sinceuh all electric cars,AGAINST,FAVOR
good morning sir please to meet you today keep it and going on sir,NONE,NONE
when did he teach the second amendment for 12 years,NONE,FAVOR
why was that man arrested yes arrested for speaking out against the marines that were killed,NONE,NONE
biden is trash worst president ever,AGAINST,NONE
it would be a historic day to see the first american president to go to prison for treason and corruption,NONE,AGAINST
when me as a senior reach a certain age time to go he to old for that postion and he frailspeak the truth shame devil do better fine a young man who can just move faster my lord help us jesus amen that settle it in heaven on earth and be safe amen amen,FAVOR,AGAINST
im yet to see a state of the union that was just an election speech,AGAINST,FAVOR
that is such a weird behavior in the beginning,NONE,NONE
so is the blm riots the antifa and fbi agents that were proven to have pushed people into the capital are what exactly thats not political violence and a blatant insurrection but some people walked around the capital when they were let inside after antifa pushed the gates down and ran to the door and thats an insurrection right,NONE,FAVOR
total political rally and the only one hell ever have because these are the only people that cheer for him ever put them in front of a crowd and all theyll do is heckle him which is why he will never do any type of rally,NONE,AGAINST
is this for real im cutting the deficit by another trillion dollars by making corporations wealthier,NONE,FAVOR
he would have been better off saying how he single handedly destroyed this country,NONE,AGAINST
these reps chewing gum vulmiting experience,NONE,NONE
you can tell the bigger lies by kamala harris standing to applaudhow do you know when biden is lying hes talking,AGAINST,NONE
since when do you socialize before a state of the union address and wires everybody bending over and talking to him like hes a little kid oh thats right because he acts like one i thought he was going to walk in with an ice cream cone,AGAINST,FAVOR
protest civilians in gaza the way we did in japan in wwii,NONE,AGAINST
i really didnt hear the state our union is in but just a lot of yelling at us americans that see through this admins bs,AGAINST,FAVOR
hunter pay your fair share,AGAINST,NONE
this was not the state of the union address it was more like a campaign speech biden i dare you to get up and debate with president trump i dont think you can do it because youre worthless weak,AGAINST,FAVOR
welcome to good house it ukraine and usa,FAVOR,NONE
what a bafoon,NONE,FAVOR
who cares about lower prescription costs when we are being invaded with millions of people getting free money food and places to live that are rasing are taxes we already are losing half our pay checks to taxes lower cost on prescription dont matter if our country gets destroyed by a 3rd world war or we are killed by migrant crimes get your priority in order joe people arent as dumb as you think,AGAINST,FAVOR
the reptilian next to the speaker exposed herself a few times during jeckyl s speech,NONE,NONE
recorded clapping cuz who in their right mind would clap for byeden,AGAINST,NONE
whatever they pumped biden full of for this speech i want some,FAVOR,NONE
a huge asset president joe trumpstomper biden has is his opponents underestimate him just like hes done before trumpstomper biden came out of his corner landing one hard punch after the other crowding the gop against the ropes and pummeling them he ended up toying with them like that time sugar ray leonard faked the big exaggerated windmill windup with one hand and then punching roberto duran in the face with his other hand republicans cant say we did this or we did that because they stopped trying to make things better in america years ago all they want to do is argue and hurl insults help russia bring down a us president and stare at photos of hunters club look who their honored guest was george santos there are no republican fingerprints on the new firetruck new health clinic modernized water treatment plant new clerk of the courts office or many other projects in my district making things better thanks to joe biden republicans declined a chance to share credit for bringing broadband to the rural area where i live or to fix the roads i drive republicans dont want to lower prescription drug prices help more people get health insurance help families with the child tax credit or give relief to victims of predatory lenders instead republicans threaten my social security republicans want to defund the police make sure crazy people can get ar15s and prolong the border crisis,NONE,NONE
its hilarious that all the sudden biden claims to be worried about the border when this problem started 5 years ago all the sudden now hes worried right before the election what a joke a political farse,AGAINST,FAVOR
he gave a coherent intelligent speech and gave people hope and at least attempted unity didnt ramble on about nothing contrast this with trumps vile lie filled semi coherent ramblings that are filled with hate bigotry divisiveness and lie after lie the contrast is startling,FAVOR,AGAINST
my boy joe nailed it what happened to the right can any explain it cant be the abortion issue because they care leas when a mom tosses a baby in the dumpster often alive on a hot day i mean what has your party so out aligned with realityits amazin wooo,FAVOR,NONE
how can the leader of america stand up there and lie to the american people the people in that room know he is full of bs most people at home watching also know he is full of crap some people at home are watching with a blanket on and candles lit because they cant afford their bills due to bidenomics thanks joe for taking half our paychecks to give it to aliens that hate us and wish us harm and contribute nothing to society but waste,AGAINST,NONE
what a waste of time watching this,NONE,NONE
hunter gave too much of his stash,AGAINST,NONE
biden said he believes in freedom and democracy core values like honesty decency dignity equality and respect and that other people his age see it differently way to lose the votes of us seniors,AGAINST,NONE
he say bunch of lies last night on thursday night,NONE,FAVOR
old people yell a lot,NONE,NONE
biden and trudeau should be sent to an island prison both criminals,AGAINST,NONE
how many clones do they have of this guy lol why cant he debate trump if he can talk like this why doesnt he sound like the other 95 of the time if you cant debate your opponent you damm sure cant protect this country from other countries that hate us,AGAINST,FAVOR
biden foolish old man im surprised he could stay awake,AGAINST,NONE
i tried watching this video but i cant this man is such an asshat he opens his speech by talking about a foreign war we have no business funding i dont know if hes the worst president in history but hes got to be top 3,NONE,AGAINST
not 45 minutes into the speech of lies his dose of amphetamines is starting to running out he begins stumbling and slurring words,NONE,FAVOR
in my lifetime 64 yrs now i have never heard during the state of the union any president taking up time speaking about their predecessor none the less deciding them disgusting,NONE,FAVOR
harris is an amazing leader what the hell are you talking about brandon,FAVOR,AGAINST
i had to turn it off i cant stand even looking at that idiot,FAVOR,AGAINST
what about freedom of speach,NONE,FAVOR
the authors of the constitution never meant for politicians to make a career in congress thats the biggest problem we have in americas government,NONE,NONE
ok fauxnews do your best to report the news not greet fined another half billion dollars,NONE,NONE
katie britt i salute you after this biden circus gggrrrr,AGAINST,NONE
the white house where residents feel like presidents,FAVOR,NONE
but he said the most correct if not the only accurate thing he will say during the entirety historyiswatching and so is god,NONE,FAVOR
this is supposed to be the state of the union not the state of the ukraine,AGAINST,FAVOR
i found it very hateful and i dont know what drugs hes on but thats all hes doing is screaming and lying and thats my opinion,NONE,AGAINST
what the hell did they give him before coming out hope it wears off before bed time hes got to be on something extremely strong yelling and screaming angrily other times not so much sotu has taken on a very dark and ominous tone wow,AGAINST,FAVOR
from what i see in this circus president putin has nothing to worry about,AGAINST,NONE
ive never seen so much evil straight from hell in one room,NONE,FAVOR
some women should not wear white,NONE,FAVOR
another perfectly appropos opportunity to use one of my favorite elf quotes you sit on a throne of lies,NONE,AGAINST
did anyone notice he signed hr40 just before they cut the stream you werent paying attention were you hr40 gives 12000000 to study the effects of slavery for reparations,FAVOR,NONE
i believe this is the most people that have ever showed for a biden rally,FAVOR,NONE
what a total joke,NONE,FAVOR
i cannot believe that i used to be a democrat i do not stand for anything this man or the democratic party stands for the only thing i feel theyre doing very well is destroying our beautiful country god help us,AGAINST,FAVOR
joe sounds like he hit a line of cocaine that was found in the white house,AGAINST,NONE
they gave him the red pill from super pill from limitless cause he is never this sharp,FAVOR,FAVOR
he sees a future where we continue to send all our tax dollars overseas instead of helping our own people treason,FAVOR,FAVOR
why the hell is nagging nancy pelosi there what is her title again,NONE,FAVOR
most of what he said was pretty based regardless of how mentally unfit he is,NONE,FAVOR
watching them clap for brandon makes me sick to my stomach you dont clap for the man who has ruined our country and destroyed everything the troops fought for 20 years when he pulled out,AGAINST,FAVOR
a threat to democracy is a weak incompetent president like joe biden who has allowed thousands upon thousands of deaths in the us he says that legals are killing eachother but yet he has done nothing to stop that either like what get him out of here seriously he has to go,AGAINST,NONE
andleave alabama out of this malarkey,FAVOR,NONE
we are taking water and tossing it on fires outside our country while our fire burns more violent every day focus on the american people and our needs first,FAVOR,NONE
god just look at camila bro she is literally waiting for the opportunity for joe to pass away so she can step in and run this country down to the ground even more,AGAINST,NONE
500 billion dollars that will go back into their pockets,NONE,FAVOR
i just threw up in my mouth a little,AGAINST,AGAINST
impressive much better than i anticipated,FAVOR,NONE
everything hes talking about we already had with trump,FAVOR,AGAINST
the lying machine in action,AGAINST,NONE
mean angry and just so out of touch,FAVOR,AGAINST
the majority of the state of union address was about trying to blame and attack president trump instead of telling the truth about biden and the lefts horrific and destructive policies republicans should have stood up and walked out of the building the moment the first lie came out of bidens mouth i saw speaker johnson shake his head so many times in complete disgust because of joes dishonest and delusionally insanè statements and i too felt embarrassed from having to listen to such blatant lies from such a foolish corrupt and incompetent commanderinchief democrats have become morally bankrupt reprobates like romans 11832 describes and ppl on the left are incapable of being honest and upright and its why america is crumbling to pieces,AGAINST,FAVOR
in the book of revelation the united states of america once mighty lost its hold its reign of power now a distant past,NONE,NONE
trump 2024 biden has destroyed our country,AGAINST,FAVOR
this man is a walking zombie shame on anyone who reward his incompetence with another four years to do even more damage to our economy and our social structure,FAVOR,AGAINST
obama is the pepet master of lieing joe biden i hope and pray the republicans get more stronger and stop the democratic party fixing the voting because we americans know the fix is in we need president donald j trump,AGAINST,FAVOR
biden is sharp smarter than trump at least he has more vocabulary words and more experience on government a vote for trump is a vote for putin last night we saw the tackiness of the republican party and karen marjorie example of how republicans behave,FAVOR,AGAINST
biden is ok hes a grownup unlike trump who is a failed insurrectionist and pro sexual assault on women,FAVOR,AGAINST
shits all talk and no walk,NONE,FAVOR
what an angry sad old man i have no sympathy for the devil and the devil he is,NONE,AGAINST
wow biden did better than expected,FAVOR,NONE
