comment,sentiment_gemini,sentiment_vader,sentiment_textblob
great to see justice catch up to the trump crime family,1.0,0.6124,0.8
oh happy day caloo calay he chortled in his joy,1.0,0.8176,0.8
id win the appeal then take all of mine and anyone who listen out of that hole,-0.3,0.5859,0.8
trump will take this to the supreme court and win plus he will sue the state of ney york,0.53770491803972,0.8126,0.8
great day for the usa i heard trump tower is going to be turned into a chic fil a,0.6,0.7351,0.8
the judge is a fool and the ag is a marxist trump will win his appeal and the presidency in 2024,-0.25,0.2263,0.8
what a joke hope americans are watching whats happening to their country he needs to win the presidency,0.3333333333333333,0.836,0.8
god is in control truth win,0.0,0.802,0.8
no surprise let the appeals fly,0.0,-0.0258,0.8
great news,1.0,0.6249,0.8
this is a great day in america the orange clown will start begging for money from the brainwashed gop this is just the beginning,0.0,0.6249,0.8
lets make a gofund me to get him out of this kenneth copeland prayer warriors lol,0.0,0.4215,0.8
great day for america couldnt have happened to a nicer guy,1.0,0.7906,0.8
lol fox had to tell the truth today,0.6,0.6249,0.8
trump bring your businesses and money to texas we welcome you trump 2024,0.4,0.4588,0.8
well he could have been a law abiding citizen like the majority of people praise the lord its a great day for the universe,1.0,0.9062,0.8
spin this as a win magalets hear it,0.0,0.5859,0.8
the fraudsters are those bringing the case no way he was going to win in ny he wont prevail in dc there is no justice here,-0.713,0.1027,0.8
what a great day for justice,0.0,0.8176,0.8
i hope he will win 2024 the donkey needs to retire,0.5,0.7717,0.8
garbage trial trump will appeal and win this judge is a flake,0.0,0.5859,0.8
hell appeal and win i wish he would get out of ny and let that hell hole rot,0.0,-0.5719,0.8
what a crock you can break our prez trump and hell still win bunch of hyenas after him drooling all the way,-0.75,-0.2023,0.8
trump will win,1.0,0.5859,0.8
i m throwing a party calld rave 355 trash tramp party all are welcome all maga,0.0,0.8126,0.8
625 great professionalism,0.0,0.6249,0.8
he will appeal and win hes just proving the courts dont follow the constitution and violate the peoples rights for profit,0.45,0.5423,0.8
i just cant take all this whining lol,-0.6,0.1717,0.8
justice rendered amaerica was just made great again 360 million yesssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,1.0,0.8176,0.8
so happy to see this judgement,0.662,0.6115,0.8
the art of the steal lol,0.0,-0.1027,0.8
great lawyersthe rnc will take care of it and the toothless will give over there unemployment cheques,0.25,0.4588,0.8
when djt becomes president again arthur f engoron will end up just like alexei navalny mark my words alina habba was and is a democrat plant how else can you explain a no jury trial donate donate to the great america pac now,0.0,0.6597,0.8
keep going mr trump dont relent dont let them win,0.0,-0.4717,0.8
will there be any democrats in heaven the answer is emphatically no the great vindicator will be that hell is forever,-1.0,0.1531,0.8
lol hell suck all the money out of the rnc to pay for it,0.0,-0.7269,0.8
trump will still win and this democrat nightmare will end,0.0,0.5859,0.8
great i beg he had to have his diaper changed when he fot this news,0.0,0.6249,0.8
donald trump will be emailing he supporters for the moneys so no worry all maga lol,0.0,-0.0886,0.8
the great things this man could do for our country if people werent one minded and would let him do his job,0.0,0.6249,0.8
im happy to send djt 10,0.75,0.5719,0.8
hes going to win an appeal,0.0,0.5859,0.8
make accountability great again folks,0.5,0.6249,0.8
this will never be payed lol all the way to the supreme court it goes,0.0,0.3111,0.8
great news when entitled billionaires dodge their share of the tax burden guess who has to make up the difference,-0.5,0.6705,0.8
trump will win the appeal,0.2,0.5859,0.8
great news for democracy ha ha ha,1.0,0.8834,0.8
ha ha ha ha ha ha trump is officially broke and banned from operating any business in ny for 3 years lol,-0.6,0.8555,0.8
maga make accountability great again,0.0,0.6249,0.8
oh yeah i am so happy now pay crook,-0.829,0.6736,0.8
of course he wouldnt win what bullsht,-0.75,-0.4717,0.8
they should pay the guy on the bottom lefthand corner to be a voiceover for rf k jr lol,0.0,0.34,0.8
it could not have happened to a nicer guy lol,0.0,0.6908,0.8
he will appeal and win,0.0,0.5859,0.8
great news,1.0,0.6249,0.8
this is one reason why trump must win in november,0.7,0.5859,0.8
for sale or let one trump tower lol,0.0,0.4215,0.8
lol hes a billionaire he got it,0.0,0.4215,0.8
these fox broads are at times attractive trump might grab puss,-0.35,0.4404,0.8
came over to see what the liars are talking about remember they paid 787 million trump is in great company nobody did nuttin,-0.6,0.1779,0.8
lol trump cant even now write a tip in ny,-0.7,0.4215,0.8
letitia needs to stick her head up engorens backside so theyll both be truly happy,-0.7,0.765,0.8
president biden is one of the greatest presidents in us history he will win in a landslide in november i love you president biden,0.8,0.9217,0.7666666666666666
this civil case in ny will be successfully appealed and the judge should be removed from the bench,0.0,0.4939,0.75
attention business owners move your company to texas or florida states that reward successful businesses not sue them do it now,0.4,0.8176,0.75
so much winning he hires the best lawyers,0.275,0.835,0.75
this is the best news for trump its more votes votes votes,1.0,0.6369,0.75
hes a good leader a great president i will alway vote for donald jtrump,0.0,0.7906,0.75
trump is a successful businessman hell turn this country around,0.5,-0.2023,0.75
good luck nyc if he gets reelected,-0.1,0.7096,0.7
good spare money for the america,0.5,0.4404,0.7
his toothless hillbilly supporters will sell their farms chickens and grandmothers to pay trumps fines hes good,0.0,0.4588,0.7
trump is just standing in the way and talking all incomings should have given desantis a chance he would have been good on immigration,0.0,0.5994,0.7
so magas are you good for the 350000000,0.0,0.4404,0.7
i think cavuto just had an orgasm of happiness announcing it on his show another clown on fox,-0.15,0.5574,0.7
its a good day of justice in america,0.8,0.743,0.7
trump lost another witch hunt does anyone know of a good witch hunter trump needs a quality witch hunter instead of a lawyer trump could save millions if he had a quality witch hunter,-0.638,-0.6369,0.7
what a joke lol if they wanted to value the property for the loans then they should of sent their own assessors this thing makes no sense loans were paid off what is the problem here,0.0,0.3612,0.7
hooooray time to pay mr billionaire good job by leticia james,0.0,0.3612,0.7
he can do what steven seagal did move to russia and re locate his con job there it will be the perfect fit don the con,-0.85,0.7351,0.7
alexander smirnov alexander smirnov alexander smirnov why doesnt fox call itself fair and balanced anymore,-0.1,0.3182,0.7
what a good day must suck to be a magot supporter,-0.8,0.2732,0.7
the guy is probably going to use his campaign donors money to pay for his crimes 2 strikes for trump ny case and jean carol case his others cases dont look good neither,-0.8,-0.6492,0.7
trump spends all of his time in courtis this the best candidate the gop can come up with republicans must really enjoy losing,-0.45,0.7017,0.7
hell appeal and wintrump couldnt get a fair trial in nyc,-1.0,-0.7623,0.7
this is a good day for america,1.0,0.4404,0.7
good for donald trump fu donald you felon rapist,0.0,-0.8271,0.7
who ever thinks what there doing to trump is good stay away from me your the lowest form of dirt germ,-1.0,-0.2732,0.7
its a good day for justice pay up fraudster,0.6,0.34,0.7
good trump has been stealing money for years hope he ends up in prison where he belongs,-0.6,-0.296,0.7
good and still nothing about the indicted fbi informant who lied about biden corruption,0.0,0.0772,0.7
i bet he appeals all of this nonsense but who would ever want to to work or be there ever again good luck demorats,-0.2,0.804,0.7
good for him thank god the justice system still works,0.5,0.872,0.7
mr trump bring your business to missouri where the highest voting trump county in the nation is and where you are loved,0.6,0.5994,0.7
fox news is not allowed to report on news that doesnt look good for trump,-1.0,-0.3412,0.7
its a good thing people spend money on him and believe his conspiracy theories otherwise he would have ended up on the street,-0.2,-0.128,0.7
thats a bigly win he keeps increasing the numbers in hundreds of millions trump knows the best president god has ever sent he really knows how to do it,0.8,0.8779,0.6666666666666666
good reporting fox as always fair and honest trump 2024,0.625,0.8176,0.6666666666666666
trump didnt get away with this one the judge called him pathalogical of course maga militants will claim hes innocent lol,-0.3274,0.6369,0.65
i cant handle all this winning lol 364mil 83 mill magats pay up,0.6,0.7506,0.65
yada yada yada more fox news showing their disconnection from reality lol no morals,-0.6,0.1531,0.65
its okay don just win baby then well get dems,0.5,0.7783,0.65
this is hilarious lol trump for bankruptcy 2024,-0.5,0.6705,0.65
pay to who there are no victims in this lawsuit literally nobody but the da asked for prosecution because the bank made money off giving him the loan and they did their own investigation before granting him the loan they decided it was a good bet and it was,0.2,0.4019,0.6499999999999999
trump telling nato to pay there fair share in defense but he wasnt paying his taxes in nys the irony lmao,-0.2,0.81,0.6499999999999999
good im glad you think thats good my solitary friend,0.0,0.9001,0.6333333333333333
hope trump picks noem for vp she is smart and has the best for the country in mind i agree with the guy below id pull my business out of ny,0.7456,0.9062,0.6071428571428571
i would either file bankruptcy or tie this up in courts for decades amazing at the corruption going on in this country and no one is charged but trump,-0.44,0.1027,0.6000000000000001
its amazing how its so close to trump running what a scam,-0.6,0.0258,0.6000000000000001
this is amazing news,1.0,0.5859,0.6000000000000001
lmao hes not gonna pay what a joke to charge him like this,-0.5,0.8358,0.6
fox news actually honest,0.8,0.5106,0.6
lmao why anyone lives in the tyrannical states of america is beyond me i can see why you all are ranked 17th on the freedom index,0.0,0.8442,0.6
lets remember that it was the frump people who did not ask for a jury hence its frumpwho should be blamed for there not being a jury so you folks should be honest and point that out,-0.6,0.0516,0.6
lmao biden can steal classified documents sell out the usa family makes millions nothing to see here folks wtz,-0.7,0.1779,0.6
foxnews thinking if nobody complains its not a crime what in the ever living fuq kind of logic is that abortion jumps out to me js,-0.35,0.0644,0.6
if i was trump i would not use money for a charity in my name to produce a self portrait for myselfalmost sounds narcissistic and people could misconstrue it for the charitable purpose it was commissioned for donald trump,0.0,0.6705,0.6
i hear the weather in sochi is nice these days,0.15,0.4215,0.6
this kind of harassment and crimes will start happening to a lot of republicans who oppose democrats control the courts judges,-1.0,-0.5849,0.6
hahaha fox news still cant deal with the fact they support a liar a thief a rapist etc etc etc buy a clue already the hush money one is the best let the storm roll in,-0.5,-0.2732,0.6
you vote for a rapist at your own peril,0.0,-0.8225,0.6
property owners set their own property values now this aint going no where,0.0,0.5556,0.6
once this case is reviewed by an honest court it will be thrown out,-0.7,0.5106,0.6
what kind of contry here is china,-1.0,0.0,0.6
maga remember your donations matters maga meniac has been ordered to pay out over 350m although hes a billionaire he still need your donations hes not tired of losing hes the greatest loser,-0.75,0.6237,0.6
i look to the comments and im shaking my head people justifying condoning law breaking unethical behaviour is astounding,-0.77,-0.296,0.6
lot of cases to keep track of im just loving this,0.8,0.5994,0.6
yall they are coming after everyone busness and all irs is coming if you dont own a busness this bull grap,0.0,0.0,0.6
dont worry all his fans will pay off his debt he knows he can just fundraise and never have to pay his own bills,0.1,-0.2249,0.6
im loving it,1.0,0.5994,0.6
be honest michael cohen got trump,0.5,0.5106,0.6
he needed a nice wake up call,0.4,0.4215,0.6
yall trump supporters better be sending him your weekly pay checks since you love him so much lol,-0.633,0.9132,0.6
lmao fox news had to pay ove 750 million of dollars because of donald the dicktator trump,0.0,0.5423,0.6
people dont worry he will not pay a dime lol this is so transparent who is gonna pay who is the victim ask mr wonderful how the business world works,0.0,0.505,0.5750000000000001
all true americans rejoice make accountability great again,1.0,0.8689,0.575
no worries this will be overturned trump will be fine and will one more time make america great again,0.8,0.2263,0.5722222222222223
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.3,0.9657,0.5714285714285714
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.7,0.9657,0.5714285714285714
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.0,0.9657,0.5714285714285714
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.8,0.9657,0.5714285714285714
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.0,0.9657,0.5714285714285714
many many thanks to the brave judges justice for the honest people of america great people honest people soberminded work,0.0,0.9657,0.5714285714285714
this is why trump doesnt want his taxes looked at he will get fined even more hes a liar and really good at manipulating you thinking hes innocent,-0.9,-0.2432,0.5666666666666667
if trump only hires the best of the best why does he keep losing in court even if there really was a dark cabal out to get trump would the best lawyers be a strong shied against them for trump if someone is truly the best of them all wouldnt they always be so,-0.69,0.9698,0.5604166666666667
the good news is if every trump voter donates 65 million dollars each trump can payoff his fine for lying sounds doable,0.0,0.0772,0.5583333333333333
every attack makes him more popular,0.0,-0.0018,0.55
this is the best thing this year so far,1.0,0.6369,0.55
what kind of law is it law of the jungle now i am scared of the democrat judges and da look like so many of them everywhere in the usa,-0.65,-0.1027,0.55
lol lol an lol fox news the channel of and for losers,-0.5,0.6124,0.55
trump is the most honest person in the world,0.6,0.5563,0.55
all this winning trump is doing is amazing,1.0,0.802,0.55
lol and tish james got it right and delivered,0.5,0.4215,0.5428571428571429
why does everyone at fox worship trump he would be a lot richer if hadnt bought everyone that works at fox pews the women that works for fox love him more then they do their own husbands and children,-0.5,0.8689,0.5333333333333333
america is great no one above the lawleticia is a great roll modle for girls,0.0,0.7906,0.5333333333333333
lol trying to bankrupt him from running lol such a joke,0.0,0.4939,0.5333333333333333
he forgot the first law of holes lol,-0.4,0.4215,0.525
at what point does maga realize there actually supporting the criminality they keep chasing lol,-0.5,0.6908,0.525
trump never wrong lol,0.0,0.0572,0.525
to think all this for being a great president and putting america first,0.0,0.6249,0.525
first he appeals he will win then he puts ivanka and baron in charge then baron and ivanka goes home and don and eric run the company for 3 years,-0.3,0.5859,0.525
that was very cheap,0.0,0.0,0.52
i love watching donald chump losing his mind over this oh what a tangled web we weave when first we practice to deceive lol ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha ha,0.75,0.9873,0.5166666666666667
thats pocket change for him this only helps him become more famous and win the election even more lol,-0.5,0.8676,0.5166666666666666
and she certainly got him lol,0.0,0.6369,0.5071428571428571
i recall the debate with hillary where she pointed out he had paid no taxes for years trump said that makes me smart lol,0.0,0.5106,0.5071428571428571
rest assured there are rinos like mcconnell romney and many others in collusion with this,-0.5,0.6124,0.5
were there betting odds in las vegas on how many seconds it would take loser 45 to launch a mass email campaign to his cult to beg for their money to pay for his crime,-1.0,-0.8074,0.5
we love you president trump and your family,0.8,0.6369,0.5
and the winning continues,0.0,0.5267,0.5
cant collect was a joke man couldnt even defend his self not being able to talk for his self cliwn show,-0.7,-0.2235,0.5
shameful will lead to trump winning or revolution,-0.9,0.0516,0.5
what a crock im sure he will appeal because he should not have to pay that,-0.3,0.381,0.5
keep appealing and pay nothing,-0.4,-0.1027,0.5
on top o having to pay out 390 million for being a sexual predator,-1.0,0.1027,0.5
so much winning,0.0,0.5688,0.5
trump sure does like committing crimes,-0.436,0.6249,0.5
i love this for donald,1.0,0.6369,0.5
not trump will pay his maga crowd will pay thissend him more checks james wanted to get trump she knows how to fight trump is a loser,-0.7,-0.6606,0.5
every trump supporter close to 70m i guess should send trump 10 in 1cents it would more than cover the cost,0.263,0.2732,0.5
just one more of joe bidens rigged kangaroo courts induced upon president trump yes its all joe bidens fault,0.0,-0.3612,0.5
why is an innocent man losing so many cases,-0.5,-0.0516,0.5
these people who are after trump need to stop and think if he doesnt win because of all this legal bs this country is going to come unglued,-0.6,-0.5643,0.5
i was considering desantis until they started this with trump now i will vote for trump even if he is convicted the more they do the more it makes me want to vote for him even if i have to write his name in,0.5,0.0772,0.5
gotta love fox you know that fbi whistleblower that was supposedly the republican house smoking gun against the bidens he was charged with perjury this week how come fox isnt covering that,0.0,-0.2263,0.5
stop the trump wich hunt and save america and americas freedoms trump 2024 for a safe america for all americas,0.0,0.7269,0.5
how is the winning looking,0.1095,0.5267,0.5
trump has nothing to worry about his worshipers will gladly pay it for him,-1.0,0.6492,0.5
im sure the appeals will be filed tomorrow,0.0,0.3182,0.5
trump and his attorneys better go through the court of appeals,0.0,0.4404,0.5
thats what happens for cheats glad we all agree in the importance of law and order,0.0,0.6369,0.5
the more they indite the more folks unite,0.7,0.0,0.5
mmm ok so what did we learn dont lie and dont steal got that chester cheetah,0.0,0.5897,0.5
so many maga tears in here,-0.5,-0.2878,0.5
lmfao what a loser keep on giving him your money maga sheep i love it,-0.8,0.7717,0.5
ordered by the show trial the meaningful litigation hasnt started yet,-0.6,0.128,0.5
please all us magats need to give twump our disability checks to pay his latest court loss,-0.75,-0.1027,0.5
when trump is president he better imprison these two crooks,-0.8,0.4404,0.5
more people will vote for him now bc we know its a scam,-0.4,-0.5719,0.5
hilarious i love it,0.0,0.7845,0.5
91 indictments and just 1 sends him to prison for at keast 57 years hes gonna die in prison eating ramane noodles and i love it,-0.4,-0.743,0.5
yeah trumpies trump please send me 20 for my latest trading card,-0.6,0.5423,0.5
this is hilarious the cult mob boss wannabe dictator getting what he deserves,1.0,0.4019,0.5
everyone of you trump lovers better get to your nearest pawnshop and start pawning your sister cousin wedding china and nascar memorabilia your cult leader is gonna need those donations before he runs out of money,-1.0,0.743,0.5
republitards your chosen orange jesus needs more money,-0.7,0.0,0.5
fuccknews seema to be very happy in breaking this news to us l fuucckknews celebrates trump fallssss this is so obvious breaking news,0.7265957446899414,0.8268,0.5
business men and women that think this cant happen to them better go get the definition of precedence,-0.6875,0.4404,0.5
make sure you get out and vote for trump in november 2024,0.1,0.3182,0.5
didnt you know everyone in shawshank is innocent,0.0,0.34,0.5
all this winning,0.0,0.5267,0.5
this will help his reelection that much more,0.444,0.4019,0.5
hes a fraudster that got a better deal than he deserves,-0.7,-0.1531,0.5
draft dodging donald trump cant stop and wont stop winning,-0.75,-0.1027,0.5
these reporters are hella biased lol fox news are trumps puppets hahaha,-0.6,0.6469,0.5
all you trump supporters better start giving your paychecks to trump ha ha,0.0,0.9001,0.5
this is a waist of tax payer money his sons will just run the business in ny this is nothing more than election interference,0.0,0.0,0.5
chumps time to cough up some more,-1.0,0.0,0.5
trumps america looks better every day trump 2024,0.75,0.4404,0.5
i support and stand by trump love trump trump 2024,1.0,0.7845,0.5
many of you do not even know the details of the case all you have ingrained in your heads is that donald is an angel how you like them apples,-0.5,0.3612,0.5
fox news so if there was no evidence he would be innocent,0.0,0.0516,0.5
lmfao all this winning maga send the billionaire your money hes going to need it,-0.5,0.7845,0.5
trump will be able to assemble the 1 fundraiser of all time 100 donation per book then another edition for 25 money wont be a problem,0.7244094417663574,0.3089,0.5
thou this is a civil trial trump did commit crimes hes a tax cheat and a sexual predator he should never be allowed to be in charge of a subway let alone the country,0.0,-0.4215,0.5
is maga cult will have to donate even more to this fraudster,-0.6,-0.6657,0.5
i love that man,1.0,0.6369,0.5
cope and seethe maga cope and seethe and dont forget to get those donations in the billionaire mandarin molester needs more,-0.8,-0.3887,0.5
no ketchup bottle is safe around ol colonel don bone spurs trump,-1.0,0.1779,0.5
thats got to hurt hes going to go broke after he pays this and miss egc case with more to come,-0.6,-0.7783,0.5
trump i need you to find 11780 votes and while youre at it i need you to find 365 million which is 365 million more than i have geez cmon guys,0.0,0.0,0.5
love this,1.0,0.6369,0.5
trump will be ok maga supporters will continue pay his bills,0.3,0.5719,0.5
when he becomes potus again he better take the salary and not donate it to charities this time,0.0,0.7269,0.5
best news ever now lets hope he goes to prison next,0.6666666666666666,0.5859,0.5
oh no they just gave trump 50 million more votes,0.0,-0.296,0.5
you maga nuts better send him the rest of your pennies he gonna need em,-0.9,0.1531,0.5
i will vote for him more than ever,0.6,0.0,0.5
his son barron must be glad he gets home schooled i cant even imagine how he feels to have trump for a father trump doesnt even try to hide his lies he thinks hes god,0.0,0.1531,0.5
devil is sure after him,-0.5,-0.4767,0.5
we still love you president trump,0.0,0.6369,0.5
yall better get in touch with your bankers take out mortgages cash in your retirement your billionaire playboy leader needs your money now,-1.0,0.4404,0.5
now i support him 1000 times more,0.8,0.4019,0.5
donny hires the best people especially attorneys based on looks,-0.5,0.6369,0.5
excellent news a sexual abuser and fraudster getting more comeuppance on to the next trial,0.28125,-0.5267,0.5
thats okay when trumps in office theyre all going to prison,-0.2,-0.34,0.5
and trumpers still think trump is innocent what a bunch of embarrassing sheep,-0.7,-0.0516,0.5
the more they indict the more we unite trump 2q24,0.0,0.0,0.5
maga make accountability great again accountability is coming to collect hope you ready smelly trump,0.0,0.8591,0.5
corruption at the highest level they are trying to bankrupt president trump and they are not going to stop more indictments are coming stop trump at all costs including epstein him,-0.55,-0.2081,0.5
love it m,1.0,0.6369,0.5
hes a great businessman haha hes always been a fraudster ever since atlantic city bahh bahh magahhh,-0.533,0.5574,0.5
yep what goes around comes around love it,0.0,0.7506,0.5
how did eric and don jr get involved they werent even mention in this allegation or part of this suit this whole case is a phony as a 3 dollar bill with pisspants obidens face on it just proves the dumpcraps know they cant win in a fair election,-0.8,-0.6167,0.5
love it when a plan comes together pay your bill or lock him up,0.5,0.5859,0.5
love it,0.0,0.6369,0.5
eventually anerican citizens will tire of the lawlessness of this administration and fight for our freedoms and democracy so many have died to defend,0.4,-0.6444,0.5
its hilarious that this judge has never been charged with anything in his life but somehow diaper don is innocent,-0.6,0.6423,0.5
couldnt happen to a better person hopefully this bankrupt him,0.0,-0.6067,0.5
ba ha ha ha ha ha ha ha ha ha i remember kenneth copeland saying how god would help trump win in 2020 god told him so much for your god and your traitor trump he will never be president again,0.0,0.9825,0.5
maga retardplicunts are hilariously ignorant and thats tremendously hilarious,-0.6,0.2247,0.5
cant you just feel america getting greater,0.0,0.3612,0.5
most anti goddam americans,-0.8,-0.7485,0.5
we got him we got him okay we got his money,0.6,0.2263,0.5
more fox news lies you guys will never learn,-0.5,-0.4703,0.5
pay attention maggots the boss wants your money now dont delay the proud boys are watching,-0.75,-0.2481,0.5
the amount of copium in here is hilarious,-0.3,0.4019,0.5
i love the maga tears keep filling my cup im thirsty for more tears,0.8,0.34,0.5
what a genius he keeps on winning,0.8,0.5267,0.5
how many people will miss james put out of work,-0.5,-0.1531,0.5
julius and ethel rosenberg have maga to pay the bill also sell some cyber secrets in margo largo he will be okay make deals to get rid of nato,-0.2,0.128,0.5
so its ok for trump to say what he like about anyone what a joke what about lock her up should trump have been elected on that what goes around comes around,-0.3,0.7334,0.5
hows that winning working out for trump,-0.6,0.5267,0.5
i surely would like to see what happens if and when the democrats turn on the biden family,-0.3,0.6597,0.5
we love trump,1.0,0.6369,0.5
god will give him more money angora man is insaneso is leticia god will deal with them,-0.4,0.4939,0.5
make sure his campaign funds go towards his crime payment order,-0.8,-0.296,0.5
fox has more trump spooj on the chin than skin,-1.0,0.0,0.5
now does everyone know why he hid his taxes for 6 years all the while saying his taxes were tied up with the irs most knew he was lying,0.0,-0.5859,0.5
can he just ask 10 bucks from each voter supporter 10 x 50000000 im sure people will send him money,0.0,0.5267,0.5
there is so much winning on the trump train,1.0,0.5688,0.5
trump is winning everything,1.0,0.5267,0.5
man got charged more than al capone even when accounting for inflation guess it goes to show you get what you pay for,0.0,-0.296,0.5
i love this so much get where it hurts lol time to celebrate,0.0,0.8225,0.5
i love this pay up donald duck,0.5,0.5859,0.5
i love fox cum maga tearsssss hahahahah,-0.8,0.6369,0.5
stop trump family inc has tied up many in court over the years now it is their turn no pony up and donate,-1.0,-0.5267,0.5
because of this more will vote for trump,0.0,0.0,0.5
diaper don the con is stinkier than ever as he begs for immunity from his many crimes,-0.75,-0.3612,0.5
his numbers will go up even more,0.2,0.0,0.5
you people have to realize that you can steal all you want in ny but if youre a business you better make sure not to cook the books,-0.8,0.705,0.5
better start giving your money to trump then,-1.0,0.6486,0.5
i love it pay up asshol,0.0,0.5859,0.5
please send more money to president trump he will appreciate it,0.0,0.6124,0.5
remember democrats will never give up never ever any more trump will never become president again no chance even if 120 vote for him bidon will winn even if no one vote for him americas history will end,0.0,-0.34,0.5
trump the most foolish thing on earth,0.0,-0.3384,0.5
but dont worry im sure hell use all the money mega supporters donate to him to pay it off,0.0,-0.5399,0.5
of course fox would have on a partisan hack to say trump is innocent hes not hes a fraudster,0.0,0.6428,0.5
glad to see that even those with more power are held accountable in this country,0.8,0.4588,0.5
maga members get your checkbook ready your great billionaire leader needs your money,0.0,0.765,0.5
you can come to nashville youll be okay here we love you president trump,1.0,0.7269,0.5
well she sure did get him,0.0,0.5267,0.5
more winning the maga way,0.0,0.5709,0.5
i wonder how many of his cult members will it take to pay this off,0.0,-0.1027,0.5
tisha james thank you thank you thank one more step for justice,0.8,0.8797,0.5
fox is a fckn disgrace defending this fraudster and sexual deviant,-1.0,-0.7717,0.5
lets make sure we go out and get trump elected 2024,0.8,0.3182,0.5
we all need to sell our trailers and give all of our money to trump now he needs us patriots more than ever,-0.2,0.0,0.5
thats some good shtuff right there keep it up,0.0,0.4404,0.4928571428571428
good and outdoors to right by the laws and by the law,0.0,0.4404,0.4928571428571428
good and outdoors to right by the laws and by the law,0.25,0.4404,0.4928571428571428
theyre digging their own hole no stopping whats coming wait till the court in heaven steps in malachi 4 13son of ephraim risinghow beautiful is the garment of joseph for hes has cast it over a multitude of nations such is the time of the birth of his childrenshalom,-0.2,0.6597,0.4833333333333333
so many great legal minds in this comment section i wonder why they werent sought out bythe djt legal team for their great and unique insights,0.0,0.9059,0.4791666666666667
welcome to the new usa republic socialit,0.0,0.4588,0.4681818181818182
if i were president trump when they win the appeal i think they should sue for damages and then i would liquidate all my holdings in new york and take my business and money away from them,0.0,0.2263,0.4681818181818182
great news for america he is a crook and i wish his stinky but could be jailed for stealing from the people of new york grifter,0.0,-0.8271,0.4681818181818182
welcome to the new ussa,-0.2,0.4588,0.4681818181818182
