comment,sentiment_vader,cluster
i love how non christians view this ordeal as political people of faith know satan doesnt have any power,0.7906,0
hilarious i love it,0.7845,0
the american marxist party previously know as the democrat party makes the old racketeering mob families look like a bunch of alter boys we need to fix this,0.7845,0
1800brainwash first 3 hours free losers get free dunce cap patriots get free one way ticket to russia molested adults get free maga hat,0.7845,0
you lied cheated and stole money own it the only victim here are the american people who have to listen to your pity me and whining like a 5 year old child for having to deal with the consequences of your own actions i would say man up but we all know thats not going to happen the good news is that this doesnt even dent that wallet of yours supposedly its time to watch the paper princess fold hahahahahahahaha love it,0.7814,0
i am loving the maga meltdown in the comments thanks fox for posting this gem,0.7783,0
its okay don just win baby then well get dems,0.7783,0
i hope he will win 2024 the donkey needs to retire,0.7717,0
judge arthur engoron wikipedia entry personal life engoron is a fan of pop culture references frequently using them in his rulings he has drafted and pitched a screenplay for a historical romantic drama about holocaust survivors his political association is the democratic party engoron has been married three times and has four children,0.7717,0
fine with me if politically motivated i would vote for james for ag if i lived there whatever it takes to take him down is good for me,0.7717,0
get ready folks the billionaire will be in full tv evangelist mode speaking in tongues begging for 1000 love offerings,0.7717,0
jesus answered im the way and the truth and the life no one comes to the father except through me john 146 i pray you make your eternal destiny secure through jesus right now it sure beats burning in hell forever ask him into your heart and to save you right now youll be glad you did,0.7717,0
and theres the illusion that you people think you are living in a free society when someone that is not part of the establishment runs against it and is and has been winning they go all out to remove himthem the world does not belong to globalists,0.7717,0
r you three homeless cause i know a few and youll love your new friends their wonderful people and vets to they killed because of you god say bad reporter you act like autumn,0.765,0
letitia needs to stick her head up engorens backside so theyll both be truly happy,0.765,0
the world is laughing at the state of justice in america this kind of stuff is expected in 3 rd world dictatorships,0.765,0
to the best of my ability i will not make any trips to new york and i will not purchase anything from any companies that are new york companies,0.7579,0
he wins to the likes that nobody has ever seen before,0.7579,0
life is full of curses and blessing we bring on ourselves by choices we make deuteronomy 28 many who think they are going to heaven are not,0.7579,0
yep what goes around comes around love it,0.7506,0
the end of america enjoy it democrats enjoy it while it lasts,0.7506,0
i cant handle all this winning lol 364mil 83 mill magats pay up,0.7506,0
came straight to fox tears they better get their check books outdaddy needs money show your loyalty to the trumpet,0.7506,0
im from the uk and i so hope and pray he gets back in cuz if he does theres going to be big fireworks,0.7434,0
hahahaha get your checkbooks ready maggots another big win for the scamming and taxevading sexual predator,0.743,0
dont worry fox ur are still the winner 700300,0.7356,0
watching this bloated orange oaf being diminished and belittled seemingly on a daily basis just fills my heart with glee loving the show,0.7269,0
big strong toddler baby big and tall came to me crying and said why is it that all these strong woman like letitia e jean carroll are wiping the floor with an orange bafoon,0.7184,0
and i have been getting text messages to contributeto the biden campaign how funny i told one of them to tell hill hello because i was a deplorable and proud of it,0.7184,0
maga but rtf most americans get abandoned but rich tax free,0.7144,0
sucks to be a republican lmao tired of winning yet haha,0.7096,0
how can such corruption be tolerated in this great nation,0.7073,0
you people have to realize that you can steal all you want in ny but if youre a business you better make sure not to cook the books,0.705,0
someone get hit by a car over there watching your show live and a lot of crying going on over there lol if it was biden you couldnt stop laughing am i right bruce hornsby thats just the way it is some things are starting to change something like that lol not sad,0.7017,0
if businesses would be truthful in their business affairs we would not have these stupid laws,0.6981,0
i like people who dont get caught heh heh heh heh heh,0.6927,0
it could not have happened to a nicer guy lol,0.6908,0
wow thats more than the state of ny is worth,0.6908,0
all the loyal supporters should pay all the money,0.6808,0
purple statethats why hes loosing with independents lol orange jump suit lol,0.6808,0
could someone enlighten me please who gets the 364m,0.6808,0
el chapo very angry have fun fox not local bidens revenge theres a kiss for ya smoke is smoke say welders jim,0.6754,0
its overturned any way get your cope closets and safe spaces ready i miss when fox news wasnt a liberal hitlerized propaganda outlet oh wait tucker left,0.6747,0
oh yeah i am so happy now pay crook,0.6736,0
corrupt democrat party has become too powerful and must be held accountable,0.6705,0
lmmfao let the maga tears run like rivers this is a beautiful day in america,0.6705,0
great news when entitled billionaires dodge their share of the tax burden guess who has to make up the difference,0.6705,0
im really having a hard time supporting you gotta reach further be maga proud,0.6621,0
i love all of the responses from the bots in this channel they say such stupid stuff it makes me laugh,0.6597,0
theyre digging their own hole no stopping whats coming wait till the court in heaven steps in malachi 4 13son of ephraim risinghow beautiful is the garment of joseph for hes has cast it over a multitude of nations such is the time of the birth of his childrenshalom,0.6597,0
they used tax assessed values not market values,0.6597,0
party time just a small party the big one when he goes to jail,0.6597,0
neither i or my family will ever visit new york again nor will we do anything to help or support it the migrants or canada can have it,0.6597,0
this was a perfect verdict,0.6486,0
get the go fund me donations together and save yall god 355 million buy more red hats and trading cards,0.6486,0
democrats want to games corrupt dont cry wolf when we republicans play the same ball game,0.6433,0
what a glorious day,0.6369,0
best news ive heard all day,0.6369,0
fascism at its best,0.6369,0
i see this happening over and over the rich think its a game to cheat banks ultimately its investors and taxpayers getting burned while they laugh it off,0.6369,0
love it,0.6369,0
oh and marthadont get too comfortable in the chair you sit in now it can be yanked at any moment no one you work for is loyal,0.6369,0
i love new yorkdonnieboy hit the door jack take your spray tan to florida,0.6369,0
i love that man,0.6369,0
love this,0.6369,0
thats what happens for cheats glad we all agree in the importance of law and order,0.6369,0
this is the best thing this year so far,0.6369,0
love it m,0.6369,0
and she certainly got him lol,0.6369,0
best news ever money money money,0.6369,0
i love fox cum maga tearsssss hahahahah,0.6369,0
the best is yet to come,0.6369,0
best day ever,0.6369,0
ny just got their money back they had to pay the blm protesters the republican party should have got behind ramaswamy biden is going to win 2024,0.6369,0
very beautiful and very well portrayed because that has been the true nature of the left democrats for a long time not only in america but also here in the netherlands and the eu gr from netherlands,0.6361,0
wow they really are just trying to end this man from every single angle so sad you brood of vipers repent for the kingdom of god is at hand,0.626,0
great news,0.6249,0
yesssss finally some accountability this makes america great,0.6249,0
credit cards at the ready magas begging email incoming,0.6249,0
625 great professionalism,0.6249,0
great news,0.6249,0
make accountability great again folks,0.6249,0
banks appraise your properties themselves for collateral loans you cant defraud the bank into giving you a loan because you inflated your property values,0.6249,0
is it ok to pay your accountant to lie personally i prefer an honest accountant,0.6249,0
awesome news,0.6249,0
great day,0.6249,0
great i beg he had to have his diaper changed when he fot this news,0.6249,0
tired of winning yet lmfao,0.6124,0
oh my dear lord the tidal waves of maga tears are about to break free everyone prepare for the flooding,0.6124,0
when you have lived a life of privilege equality feels like persecution,0.6124,0
lol lol an lol fox news the channel of and for losers,0.6124,0
so happy to see this judgement,0.6115,0
look at all the beautiful snowflakes,0.5994,0
lot of cases to keep track of im just loving this,0.5994,0
like the song says i fought the law and the law won,0.5994,0
im loving it,0.5994,0
lol and his sheep s still think this is god,0.5994,0
mmm ok so what did we learn dont lie and dont steal got that chester cheetah,0.5897,0
professionals are absolutely killing this country even the hosts of this show in a halfaffected tone imply well that sucks for him glad its not me on to the next story its as if all these people have had all their passion trained out of them by the university i think we definitely need to shut down mist of our colleges and repeal the 19th amendment if we want any hope or chance of beating back this psunami of progressive regression,0.5868,0
i love it pay up asshol,0.5859,0
this is amazing news,0.5859,0
spin this as a win magalets hear it,0.5859,0
love it when a plan comes together pay your bill or lock him up,0.5859,0
donny may have lost all of his but his consolation prize is that he has bumped jesus out as the new christ,0.5859,0
brilliant news what a crook,0.5859,0
a very big assumption that dtwould win a general election,0.5859,0
id love to be a fly dodging ketchup bottles on the wall down at motel lardo right now,0.5859,0
wow its all political im moving to cuba,0.5859,0
id win the appeal then take all of mine and anyone who listen out of that hole,0.5859,0
wow normal news stations are breaking it down watch real news pathological,0.5859,0
i love this pay up donald duck,0.5859,0
the united states that was is no more american citizens better wake up,0.5809,0
im not sure theres even 1 honest democrat left in this god forsaken banana republic,0.5737,0
democrats turning the american legal system into a laughing stock around the world,0.5719,0
im happy to send djt 10,0.5719,0
real republicans celebrate as the rinos whimper,0.5719,0
wonderful news,0.5719,0
stinky will file bankruptcy 354m 88m you old folks get ready to make donations we here in are happy,0.5719,0
what does the mafia say about this your friend the joker,0.5719,0
she would have won regardless,0.5719,0
perfect phone call,0.5719,0
cars rule have ya built won you will you will,0.5719,0
more winning the maga way,0.5709,0
so much winning,0.5688,0
so much winning that red wave is coming,0.5688,0
a bank and loan company not doing their job and evaluating a propertys market value is not the fault of the person or corporation selling or buying a property,0.5659,0
people like to put all sorts of virtue signaling signs in their yards i suggest people make signs that say boycott new york trump supporters should not be tourists there and they should not support the state in any way,0.5635,0
praise orange jesus im sending him the 10 i was just about to spend on a pineapple pizza,0.5574,0
get used to it hero,0.5574,0
hahaha they cite oj,0.5574,0
accountability feels like oppression to the entitled,0.5574,0
i think cavuto just had an orgasm of happiness announcing it on his show another clown on fox,0.5574,0
they are called appraisals not assessments taxes are assessed on appraised values loans are made on appraised values talking news heads are empty heads,0.5574,0
property owners set their own property values now this aint going no where,0.5556,0
ok america i know i said it would be the last time with the 80 million but i promise this absolutely will be the last time i just need another 355 million,0.5499,0
we stand with the law but only when it works in our favor,0.5499,0
voted for democrats most of my voting life but this is wrong and let banks mortgagees and appraisers off the hook now we still going to have redlining black folks properties will continue to be under valued and white folks properties are still going to be over valued,0.5499,0
situations like this im glad im not rich smh,0.5481,0
you know which one princess of pink ankles please autumn join,0.5423,0
well she sure did get him,0.5267,0
all this winning,0.5267,0
and the winning continues,0.5267,0
if thiis doesnt solidify everyone together id be shocked its just not rightand we all see it now good job dems you fcked yourselfs lol,0.5267,0
america and justice miain this controlled banana republic,0.5267,0
yay vote blue,0.5267,0
how is the winning looking,0.5267,0
wow he got off easy it should have been so much worse i wonder if e jean carol will get his plane,0.5141,0
democrats looking for free money to feed their migrants,0.5106,0
just look at america under the obiden administrationits a disastera free for all t hole,0.5106,0
true independents are smart and unbiased they support the rule of laws and uphold democracy all others are just noise and pissed off magas pretending to be one of us,0.5106,0
this is fun,0.5106,0
hope you nuts that support this guy eventually make your way back to reality,0.5106,0
fox news actually honest,0.5106,0
all the while hunter biden is a free manlet that sink in,0.5106,0
meanwhile bidens son is walking free without consequences,0.5106,0
the best part of waking up is magat tears in my cup,0.5106,0
ask gary gibb and family have fun gibb kids,0.5106,0
free julian assange and edward snowden,0.5106,0
the coping is strong here,0.5106,0
i believe in karma i think that letisha james will get hersin due time maybe in the afterlife never forget this huge overreach travestyand vote accordingly,0.5091,0
this is called election interference enjoy your weekends election interference is any deliberate attempt to disrupt manipulate or influence the outcome of an election regardless of whether it is carried out by foreign entities domestic organizations individuals or other internal actors,0.4939,0
god will give him more money angora man is insaneso is leticia god will deal with them,0.4939,0
follow the money were sure to see leticias net worth to be in the multi millions soon,0.4939,0
new york must be running out money to take care of all these immigrants,0.4939,0
i care about his properties,0.4939,0
watch as tarlov triggers waters and gutfeld with one hand tied behind her back,0.4939,0
pay up you rich piece of trash,0.4939,0
does anyone care about what this lady is saying letita james,0.4939,0
talk talk to the hand,0.4939,0
fox news very funny news outlet,0.4927,0
if djt really has the support of the people then maybe its time for the people to show their support for him by financially contributing heck ill give all the way from new zealand,0.4814,0
_todays lucky number 364000000_,0.4767,0
pay that funky money white boy lmao,0.4767,0
martha i have zero respect for you who knew,0.4767,0
and imagine this is the country that constantly say they want to bring democracy to the world lol they cant even bring it to their own country,0.4767,0
hey donnie financial relief is only one cap away bon appétit,0.4767,0
welcome to the new ussa,0.4588,0
ari were smarter than you think enough of fox spin,0.4588,0
i cant wait until its latishas turn please god make her pay,0.4588,0
who cares new york will be a smoking hole in three more years,0.4588,0
everybody knows its political motivated,0.4588,0
welcome to the third world america,0.4588,0
people have no ideal just how important this 2024 election is,0.4588,0
glad to see that even those with more power are held accountable in this country,0.4588,0
welcome to the new usa republic socialit,0.4588,0
i never pay taxes im smart djt 355000000,0.4581,0
i dont pay taxes because im smart 35500000000,0.4581,0
if you think about it ttump is actually really smart,0.4576,0
i hope all big business leaves new york,0.4404,0
this is election interference i hope every last democrat is voted out of office,0.4404,0
this is a good projection of black mentality,0.4404,0
so magas are you good for the 350000000,0.4404,0
chinese nationals crossing the border illegally you libs who are saving our democracy better get your butts in gear,0.4404,0
i will never spend any money in nyc i hope other people will follow,0.4404,0
thanks democrats,0.4404,0
good and outdoors to right by the laws and by the law,0.4404,0
thats some good shtuff right there keep it up,0.4404,0
this is a good day for america,0.4404,0
yall better get in touch with your bankers take out mortgages cash in your retirement your billionaire playboy leader needs your money now,0.4404,0
couldnt have happened to a nicer guy,0.4404,0
breaking heinz ketchup announces first quarter earnings increase of 500 due to increased demand for ketchup packets at mar a lago,0.4404,0
all businesses better move from new york they will be sued for anything,0.4404,0
i hope all independent voters can see what they are doing here if this stands our country is gone,0.4404,0
business men and women that think this cant happen to them better go get the definition of precedence,0.4404,0
thanks for the reparations donnie,0.4404,0
youre supporting a new york city conman foxputin network viewers wake up,0.4404,0
good spare money for the america,0.4404,0
better than getting taken out that was the democrats next move,0.4404,0
all yall getting juiced and yall still think its funny,0.4404,0
good and outdoors to right by the laws and by the law,0.4404,0
bs here it comes americans know better keep your eyes open it coming,0.4404,0
they just tripled his supporters,0.4404,0
you people doing this witch hunt have your day coming and when it happens it will be so fun watching it this is so obvious that you left leaders are desperate lol,0.4341,0
not as bad as fox news settlement,0.431,0
lol and tish james got it right and delivered,0.4215,0
i dont think hes gonna skate out of this one lol,0.4215,0
i hear the weather in sochi is nice these days,0.4215,0
hannitys show is pure entertainment it is right up there with wwf wrestling,0.4215,0
he needed a nice wake up call,0.4215,0
stormy lol,0.4215,0
this bout to get overturned too lol,0.4215,0
whats the average education of a typical fox veiwer lol,0.4215,0
oh we know latisha jamess face it is on the center of every dart board in the country with a ketchup packet behind it lol,0.4215,0
im done doing any business or entertainment in ny so corrupt and ghetto,0.4215,0
lets make a gofund me to get him out of this kenneth copeland prayer warriors lol,0.4215,0
he forgot the first law of holes lol,0.4215,0
lol only on fox,0.4215,0
fox 787 million cant fix stupid,0.4168,0
why isnt every other real estate agent who does this so most of them not have this happen almost seems politically motivated,0.4091,0
dont worry if he cant pay we should just lock him up,0.4023,0
this is the beginning of a one party government,0.4019,0
the amount of copium in here is hilarious,0.4019,0
a whole joke lil that number is laughable the amount of crimes being done against humanity,0.4019,0
i hope all businesses leave new york and follow the nra,0.4019,0
this is hilarious the cult mob boss wannabe dictator getting what he deserves,0.4019,0
_the leader of the repuke gop party how pathetic_,0.4019,0
hilarious she askes to be paid back then cant 2nd charge years later bc ran outta money girls yuck,0.4019,0
_come on magas get your debit card out and help out your cult leader_,0.4019,0
time to get your paychecks out maga your cult boss needs your help,0.4019,0
democratic party has grown corrupt,0.4019,0
yes the clock is ticking for the traitor,0.4019,0
what a bull bull corrupt democrat party,0.4019,0
clearly what happens when you go against the club,0.4019,0
i dont get it who exactly is the aggrieved party in this case,0.4019,0
hahaha all the red tears,0.4019,0
in her dreams,0.4019,0
its interesting how some republican states vote to keep roe v wade yet they vote for the same folks who want to ban it never underestimate maga stupidity,0.4007,0
so maralago is only worth 18 mil but the fine is 20 times that,0.3919,0
so how many times did leticia meet with the biden white house on this matter like fani and her boy,0.3869,0
time to pay up diaper don haha,0.3818,0
this is a vendetta clear and simple,0.3818,0
the best man in america what a crap country america is,0.3818,0
another dear leader obiden move,0.3818,0
i found 5 dollars in my socks drawer all helps donnie,0.3818,0
clear the swamp,0.3818,0
this is not right this man built his businesses and it helps many people work,0.3818,0
today i give fox news a thumbs up like for the 1st time,0.3612,0
what a joke lol if they wanted to value the property for the loans then they should of sent their own assessors this thing makes no sense loans were paid off what is the problem here,0.3612,0
looks like the got more funding for their new voter base coming across the border,0.3612,0
would recommend nobody do business in nyc or state,0.3612,0
wow this is over the topl james ag nyc loses more,0.3612,0
get ready for another batch of nft cards,0.3612,0
joe biden is a chinese asset through ukrain,0.3612,0
they will try anything get ready for november,0.3612,0
hooooray time to pay mr billionaire good job by leticia james,0.3612,0
cant you just feel america getting greater,0.3612,0
thank you leticia james,0.3612,0
overkill i agree move all of your businesses out of ny,0.3612,0
theyre all spotted run spot run cuz the price of ny real estate and an a harvard mba just hit the basement get out of ny while you can and stay away from fl tn and tx,0.3612,0
like my parents always taught me and my brothers back in the seventies never vote for a democrat politician,0.3612,0
hmm this is a shame i only like winners,0.3612,0
this will look like going after him,0.3612,0
money never changes hands until like 50 years later,0.3612,0
communism at its finest dont worry they will come for you next if you think voting is going to fix this youve been drinking the koolaid,0.3412,0
dont worry about joe and hunter biden though nothing to see there,0.3412,0
nelson from the simpsonsha ha,0.34,0
play stupid games win stupid prizes,0.34,0
maybe the fix entertainment channel will get a pay day loan from rupert murdock,0.34,0
i love the maga tears keep filling my cup im thirsty for more tears,0.34,0
maga cult members will unite by giving their life savings to this thug,0.34,0
whats half a billion to someone who can easily con 10 a month from 40 million acolytes,0.34,0
break the law you pay everyone else has to what a business man lol,0.34,0
didnt you know everyone in shawshank is innocent,0.34,0
they should pay the guy on the bottom lefthand corner to be a voiceover for rf k jr lol,0.34,0
hurry hurry dont forget to send him all your money forget about your kids,0.3252,0
neil cavuto ask hannity for the picture of fan willis and ag james ny,0.3182,0
someone who said they would go after a crook please,0.3182,0
definition please,0.3182,0
its not slowing him down thats for sure,0.3182,0
so whos already gotten a fundraising email asking them to help pay his fines anyone,0.3182,0
define word please,0.3182,0
im sure 80m americans would donate 5 to give these people the middle finger,0.3182,0
soi guess those who profited from covid owes those who took the jab billions,0.3182,0
just report the news please,0.3182,0
alexander smirnov alexander smirnov alexander smirnov why doesnt fox call itself fair and balanced anymore,0.3182,0
youll pardon me ari if i dont take advice from you,0.3182,0
now lets turn to chapter 11 of his book for a solution,0.3182,0
this country is being taken over by socialist communist i pray that jesus christ gets here a lot sooner,0.3182,0
the truth is that whatever the orange head touches goes down,0.3182,0
please donate all donations count your grandfather pocket watch your mother necklace your grandmother wedding ring anything even lottery tickets,0.3182,0
this is ridiculous i have never played the political game but i can say at this moment i will never vote for the democratic party ever,0.3142,0
prejudicial expression of a personal vendetta by james but on whose behalf an aggrieved party,0.3071,0
suprise live from ny did you expect anything less what a comedy show,0.3008,0
ahhhh the stable genius d d d,0.296,0
goodby trump your a joke,0.296,0
what a joke he is he got what he deserves,0.296,0
this is all a big joke and bs,0.296,0
ok this guys is really crooked more crooked than a 2 bill,0.296,0
what a joke our government has become,0.296,0
banana republic restore the republic trump 2024,0.296,0
yeah right,0.296,0
yep its persecution according to that video,0.296,0
itll flip theylle get exposed like fani,0.296,0
my kidneys are screaming for me to stop intaking all these sweet sweet n salty comments,0.296,0
what a joke these leftist s are mentally handicapped,0.296,0
fox news is a joke,0.296,0
this is a joke,0.296,0
but but but hunter biden but but taylor swift but but hillary,0.296,0
what a complete joke this case was totally nonsensical hogwash,0.296,0
fox news is a joke,0.296,0
fox news joke staffed by dummies,0.296,0
nothing rigged here your crooked mafia don sons,0.2755,0
this is more rigged then the super bowl,0.2748,0
wow insane,0.2732,0
well we knew the outcome before it started,0.2732,0
agreed sell everything an dont do business in corrupt cities or states,0.2732,0
pay attention liberals this is what real fascism looks like,0.2732,0
my god this man is a martyr for america,0.2732,0
a nation of sheep creates a government of wolves,0.2732,0
god will get that beast,0.2732,0
what a good day must suck to be a magot supporter,0.2732,0
if this holds every business owner in ny would be held liable for all documents where they need to estimate the net value of their possessions that line needs to be taken out of every legal document or else everyone will be subject to litigation at any point in time,0.2732,0
people are going to move out of nyc if this stands good god nyc doesnt need this they are already an absolute wreck,0.2732,0
might as well have made it a trillion dollars if you are out to get somebody dont do it in half measures,0.2732,0
when unelected people control our lives we are no longer free,0.2732,0
pay your bills just like you told nato members,0.2732,0
god is on earth gods army,0.2732,0
pay your bills just like you told nato members,0.2732,0
450 million with millions more in fine coming in the next couple months,0.2682,0
have you donated to the djt legal defense fund today,0.25,0
surely no one is surprised theft over decades what i am surprised by is how low the pay back is,0.25,0
has positive impactas you keep losing elections,0.25,0
god will restore all thats lost,0.25,0
whats positive about losing 350 million dollars only on fox,0.25,0
im so rich ill let you pay my legal fees he said speaking to a crowd and the crowd went wild,0.2298,0
so the appraiserjudge deems mar a lago is worth 18 million so for 365 million i can by 19 mar a lagos you cant buy one for 365 million,0.2263,0
we got him we got him okay we got his money,0.2263,0
isnt this the hack activist judge who says maralago is worth 18 mil speaks volumes of just how uninformed he is,0.2263,0
if we allow this debauchery we deserve to be slaves,0.2263,0
im surprised im surprised but i cannot even believe this our country is gone,0.2263,0
lolthe grifter inflated his net worth by 35 billion and understated his weight by 100 pounds,0.2263,0
yeah pay them so that fani willis can give money to her lover criminals,0.2263,0
i always tell the bank that my beer can collection is worth 1 million they can determine if this is accurate,0.2263,0
the man who cheats any way possible and lies continuously is finally getting some truth and i love it,0.2263,0
how many ditzy blondes with subpar resumes does fox interview and hire straight from the maga sewer,0.2263,0
thesescumbags have hit him and his family with everything including the kitchen sinkour constitution is going straight down the,0.2263,0
maga retardplicunts are hilariously ignorant and thats tremendously hilarious,0.2247,0
maga gonna be digging deep into the piggy banks after this one here i am cheesus take my food stamps i dont have no teeth anyway,0.2235,0
this is not ture stop this,0.2235,0
they had already decided in some way yes because it was obvious to everyone but fox,0.2144,0
career criminal going down you love to see it,0.2023,0
reaching,0.2023,0
i love it grab em by the wallet they let you do it too when youre a con man criminal bloated orange buffoon,0.2023,0
this was a bigly fine that he bigly deserved,0.2023,0
come on magas empty your pockets your children dont need food,-0.2023,0
navalny dies for the truthand truth matters in the end it is the bedrock of a free country lies have consequences chaos ensues sometimes heavy financial penalties,-0.2023,0
leticia james has a bad case of trump derangement syndrome leticia needs help,-0.2023,0
boooyaaaa pay your bills conman don like nato pays its bills fool,-0.2023,0
that would feed and house a nice group of illegal immigrants aka democrats,-0.2023,0
hey nato pay your bills hey donald pay your bills,-0.2023,0
so smug knowing yall been playin dirty,-0.204,0
he shouldnt have been lying and cheating,-0.2081,0
this is all the work of the left they will go to any length to keep the good people down so tired of this sh t,-0.2123,0
why cant they leave him alone its sickning,-0.2148,0
they are trying so hard,-0.2183,0
cant collect was a joke man couldnt even defend his self not being able to talk for his self cliwn show,-0.2235,0
leave ny with its immigrants they wanted so badly and big businesses relocate to a state that appreciates your contribution to society,-0.2243,0
plenty of tears from orange jesus and his cult,-0.2263,0
i left nyc one year ago and would never live there until comunist stopped running that city,-0.2263,0
the maga tears are drenching this comment section,-0.2263,0
liberal america should keep in mindwhat comes around goes around no liberal in this world is righteous it is just what they want the world to believe,-0.2263,0
just here to see the maga tears,-0.2263,0
once again im just here for the maga tears 2024 we are just in february,-0.2263,0
the art of the deal transitions to the art of the steal regular people please dont try this at home it could be nonhabit forming,-0.2263,0
magat tears everywhere,-0.2263,0
bring on the maga tears,-0.2263,0
all tax paying new yorkers please leave now and make this place desolate waste land leave the corrupt democrats there with their migrants and zero money,-0.2263,0
any body out there who thinks like i do that leticia james is disgusting,-0.2263,0
maga tears are so hydrating,-0.2263,0
these deep state asshats need to be stopped,-0.2263,0
maga tears are everywhere,-0.2263,0
america is a democracy what a joke you are worse than 3rd world countries,-0.2263,0
bring on the maga tears,-0.2263,0
arw those maga tears im seeing,-0.2263,0
here comes the maga tears,-0.2263,0
im kind of thinking at this point that this does nothing but show how petty these folks are and its just laughable even most moderates are going to get it if they have half a brain,-0.2263,0
